着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,1,ビッグアーサー,牡5,58,福永祐一,1:07.6,,2.1,1,524(+4),[西] 藤岡健一
2,7,10,ネロ,牡5,56,内田博幸,1:07.8,1,4.8,2,464(+4),[西] 森秀行
3,7,11,ラヴァーズポイント,牝6,54,川須栄彦,1:07.8,クビ,53.5,9,514(+8),[西] 高橋康之
4,4,4,アースソニック,牡7,56,岩田康誠,1:07.9,クビ,130.9,11,494(-8),[西] 中竹和也
5,8,13,スノードラゴン,牡8,57,川田将雅,1:07.9,クビ,19.0,6,508(-4),[東] 高木登
6,4,5,レッドアリオン,牡6,56,武豊,1:08.0,クビ,25.4,7,474(-4),[西] 橋口慎介
7,3,3,ダンスディレクター,牡6,56,浜中俊,1:08.0,ハナ,5.4,3,444(0),[西] 笹田和秀
8,2,2,エイシンブルズアイ,牡5,56,石橋脩,1:08.0,ハナ,9.8,5,474(-6),[西] 野中賢二
9,5,6,ウリウリ,牝6,54,Ｍ．デム,1:08.0,クビ,8.1,4,468(+4),[西] 藤原英昭
10,6,8,アットウィル,牡6,56,古川吉洋,1:08.1,クビ,36.4,8,496(-2),[西] 高橋義忠
11,5,7,ティーハーフ,牡6,56,藤岡康太,1:08.1,アタマ,61.5,10,464(+6),[西] 西浦勝一
12,8,12,マイネルエテルネル,牡6,56,和田竜二,1:08.4,2,226.9,12,496(+8),[西] 西園正都
13,6,9,メイショウライナー,牡6,56,松山弘平,1:08.5,1/2,245.0,13,470(-6),[西] 高橋義忠
