着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,8,ガウディウム,牡2,54,ルメール,1:48.9,,10.3,5,446(+14),[西] 吉田直弘
2,2,3,タガノヴァン,牡2,54,藤岡康太,1:48.9,クビ,11.0,6,452(0),[西] 五十嵐忠
3,8,14,ユイフィーユ,牝2,54,武豊,1:49.0,クビ,11.8,7,468(0),[西] 池江泰寿
4,3,4,ラレータ,牡2,54,川田将雅,1:49.2,1.1/4,3.9,2,460(-8),[西] 高野友和
5,3,5,コパノカーニバル,牡2,54,古川吉洋,1:49.3,3/4,44.9,10,482(-8),[西] 田所秀孝
6,6,11,カリーニョミノル,牝2,54,和田竜二,1:49.6,2,5.8,3,482(+4),[西] 北出成人
7,2,2,テイエムグッドマン,牡2,54,幸英明,1:49.9,2,18.8,8,478(-2),[西] 福島信晴
8,4,6,ケンシュナウザー,牡2,54,高倉稜,1:49.9,アタマ,43.1,9,460(-2),[西] 本田優
9,8,15,アテンソード,牡2,51,荻野極,1:50.0,クビ,105.2,14,428(-4),[西] 谷潔
10,6,10,リトルプリンス,牡2,54,小牧太,1:50.0,クビ,7.1,4,512(0),[西] 山内研二
11,4,7,ダイシンクイント,牡2,54,Ｍ．デム,1:50.0,ハナ,3.8,1,486(+10),[西] 森秀行
12,5,9,プロクレイマー,牡2,54,松山弘平,1:50.3,2,86.8,13,488(+4),[西] 石坂正
13,7,12,デクレアビクトリー,牡2,54,浜中俊,1:50.3,ハナ,62.1,11,544(-6),[西] 村山明
14,1,1,マイネルアレックス,牡2,54,川須栄彦,1:50.5,1,352.2,15,456(+10),[東] 鹿戸雄一
15,7,13,マグナスエフェクト,牡2,54,岩田康誠,1:51.8,8,70.8,12,430(-10),[東] 小島茂之
