着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,9,マルカウォーレン,牡4,56,国分恭介,1:51.2,,7.0,2,516(-10),[西] 今野貞一
2,4,7,トウケイワラウカド,牡3,54,小牧太,1:51.2,クビ,16.2,7,486(+4),[西] 飯田祐史
3,8,15,ティンバレス,牝4,55,藤岡康太,1:51.4,1.1/4,13.1,5,488(-4),[西] 吉田直弘
4,2,3,ザイディックメア,牡4,56,和田竜二,1:51.5,1/2,7.1,3,454(-4),[西] 村山明
5,3,5,スズカウラノス,牡7,54,幸英明,1:51.5,ハナ,68.8,12,476(0),[西] 坪憲章
6,7,13,ウェーブキング,牡4,54,岩田康誠,1:51.5,クビ,21.6,10,508(-2),[西] 中尾秀正
7,6,12,カレンマタドール,セ5,54,北村友一,1:51.5,ハナ,21.1,9,496(+4),[西] 安田隆行
8,5,10,コウユーアンドレ,牡6,54,太宰啓介,1:51.7,1,91.4,13,470(0),[西] 大根田裕
9,8,16,アダムズアップル,牡5,54,菱田裕二,1:51.8,3/4,51.9,11,510(0),[西] 杉山晴紀
10,6,11,サンタエヴィータ,牝5,54,川田将雅,1:51.9,1/2,2.4,1,458(0),[西] 西村真幸
11,1,1,エキドナ,牝3,53,松若風馬,1:52.1,3/4,7.1,4,484(-2),[西] 山内研二
12,1,2,ヴォルケンクラッツ,牡5,55,岡田祥嗣,1:52.4,1.3/4,134.5,14,536(0),[西] 平田修
13,7,14,トゥヴァビエン,牡6,55,高田潤,1:52.5,3/4,177.1,15,530(+2),[西] 湯窪幸雄
14,3,6,テイエムテツジン,牡4,55,高倉稜,1:52.6,クビ,14.5,6,462(+2),[西] 福島信晴
15,2,4,デューイハミテージ,牝4,51,柴田未崎,1:52.7,1/2,208.7,16,450(+2),[西] 田所秀孝
16,4,8,マウナロア,牡5,55,松田大作,1:52.8,1/2,20.4,8,494(0),[西] 北出成人
