着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,1,ウインハートビート,牡4,56,田辺裕信,1:10.0,,14.6,5,478(+4),[西] 宮本博
2,5,10,スパイチャクラ,牝4,54,丸山元気,1:10.0,クビ,2.7,1,462(-4),[西] 西浦勝一
3,3,5,サウンドドゥイット,牡5,57,フォーリ,1:10.1,クビ,34.4,12,458(+14),[西] 吉田直弘
4,6,12,プレシャスロード,セ5,57,鮫島克駿,1:10.1,ハナ,231.3,18,468(+4),[西] 佐々木晶
5,7,13,ドルメロ,牡5,57,四位洋文,1:10.1,クビ,20.5,9,474(+8),[東] 尾関知人
6,7,14,ダブルコーク,牡6,57,木幡初也,1:10.3,1,17.8,7,492(-4),[東] 鹿戸雄一
7,4,8,クリーンファンキー,牝4,54,宮崎北斗,1:10.4,1/2,6.4,2,488(+6),[東] 鈴木伸尋
8,2,4,コーディネーター,牡4,56,岩田康誠,1:10.5,クビ,35.3,13,502(+18),[西] 鈴木孝志
9,4,7,コパノチャンス,牡4,56,横山和生,1:10.5,アタマ,20.3,8,492(+12),[東] 上原博之
10,8,18,スペードクイーン,牝4,54,藤岡康太,1:10.5,クビ,6.6,3,458(-2),[西] 西村真幸
11,1,2,クラウンルシフェル,牡6,57,松山弘平,1:10.5,アタマ,16.0,6,496(0),[東] 天間昭一
12,2,3,リュウツバメ,牝7,55,伴啓太,1:10.6,クビ,49.3,15,546(+4),[東] 和田正道
13,6,11,コマユ,牝4,54,岩崎翼,1:11.0,2.1/2,62.2,17,446(-10),[西] 森秀行
14,7,15,ペイザージュ,牝4,54,川須栄彦,1:11.5,3,41.8,14,486(+6),[西] 大久保龍
15,5,9,ロックオン,牡4,56,中谷雄太,1:11.6,1/2,25.5,10,464(+18),[西] 藤岡健一
16,8,17,ウメマツサクラ,牝4,54,酒井学,1:11.8,1.1/4,11.8,4,478(+18),[西] 森田直行
17,3,6,カレンローザネーラ,牝5,55,太宰啓介,1:11.8,クビ,55.4,16,472(+14),[西] 安田隆行
18,8,16,アドマイヤジャズ,牡5,57,幸英明,1:11.9,クビ,33.4,11,472(+2),[西] 友道康夫
