着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,18,サダムリスペクト,牡5,57,川須栄彦,1:08.4,,59.3,12,476(+2),[西] 中尾秀正
2,8,16,デスティニーソング,牝3,54,鮫島克駿,1:08.5,1/2,20.0,8,448(+20),[西] 松下武士
3,7,15,オフクヒメ,牝4,55,中谷雄太,1:08.5,クビ,90.8,16,460(+2),[西] 松下武士
4,3,5,スナークスカイ,牡4,57,中井裕二,1:08.5,ハナ,33.3,11,454(+6),[西] 川村禎彦
5,6,11,ヒルノマゼラン,牡4,57,古川吉洋,1:08.6,クビ,20.4,9,508(+6),[西] 昆貢
6,4,7,ダイシンバルカン,牡5,57,松若風馬,1:08.6,クビ,7.6,4,510(0),[西] 吉田直弘
7,4,8,ウィズアミッション,牝6,55,藤岡康太,1:08.6,クビ,8.5,5,434(+4),[西] 吉村圭司
8,8,17,メイショウベルボン,牝3,54,武豊,1:08.7,クビ,4.0,1,448(-2),[西] 南井克巳
9,5,10,ラヴィングアンサー,牡3,56,浜中俊,1:08.7,ハナ,5.3,2,496(+8),[西] 石坂正
10,1,2,キャンディバローズ,牝4,55,吉原寛人,1:08.7,アタマ,10.6,6,428(+20),[西] 矢作芳人
11,5,9,イリスファルコン,牝3,54,原田和真,1:08.9,1.1/4,264.5,18,418(-2),[西] 安田隆行
12,3,6,ゴールドケープ,牝3,54,丸山元気,1:08.9,ハナ,12.0,7,432(+6),[西] 荒川義之
13,7,14,オメガタックスマン,牡5,57,北村友一,1:08.9,クビ,6.5,3,474(+2),[西] 今野貞一
14,1,1,ノーブルルージュ,牝5,55,高倉稜,1:08.9,アタマ,82.5,14,460(0),[西] 宮本博
15,2,4,ベリースコール,セ4,57,菱田裕二,1:09.0,クビ,28.8,10,486(0),[西] 岩元市三
16,2,3,ヴァッフシュテルケ,牡6,57,岩崎翼,1:09.0,クビ,88.7,15,480(+6),[西] 岩元市三
17,6,12,メイショウソウビ,セ3,56,鮫島良太,1:09.2,1.1/2,66.4,13,464(-6),[西] 飯田祐史
18,7,13,ウーマッハ,牝3,54,太宰啓介,1:09.3,1/2,240.8,17,470(+6),[東] 古賀史生
