着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,3,セイウンキラビヤカ,牝3,54,内田博幸,1:36.3,,6.8,3,472(0),[東] 池上昌和
2,3,6,エイブルサラ,牝3,54,勝浦正樹,1:36.9,3.1/2,13.7,7,436(0),[東] 谷原義明
3,1,1,ベルビュー,牝3,53,長岡禎仁,1:37.2,2,35.6,11,434(0),[東] 高橋文雅
4,6,11,ブライトメモリー,牝3,54,戸崎圭太,1:37.4,1,4.1,2,466(0),[西] 小崎憲
5,6,12,ナチュラルシンジュ,牝3,54,伊藤工真,1:37.4,クビ,118.8,15,434(0),[東] 清水英克
6,4,8,オモイデヲノセテ,牝3,54,木幡初広,1:37.5,3/4,102.0,13,426(0),[東] 根本康広
7,5,10,ヤマニンリュネビル,牝3,54,柴田善臣,1:37.6,クビ,12.7,6,500(0),[東] 蛯名利弘
8,4,7,アクアリオ,牝3,54,田中勝春,1:37.6,クビ,8.0,5,452(0),[東] 田島俊明
9,8,15,シンキングターボ,牡3,56,嘉藤貴行,1:38.0,2.1/2,99.8,12,484(0),[東] 大和田成
10,1,2,コンカドール,牝3,54,田辺裕信,1:38.1,1/2,3.9,1,434(0),[東] 久保田貴
11,7,14,シェリレーヌ,牝3,51,野中悠太,1:38.1,アタマ,26.2,9,438(0),[東] 国枝栄
12,7,13,オフコース,牡3,53,菊沢一樹,1:38.2,クビ,103.1,14,456(0),[東] 中川公成
13,8,16,ダイコウサク,牡3,56,二本柳壮,1:38.2,ハナ,19.4,8,496(0),[東] 小西一男
14,5,9,タマノプリマベーラ,牝3,54,柴田大知,1:38.6,2.1/2,31.8,10,464(0),[東] 伊藤大士
15,2,4,ネオヴァヴェル,牡3,54,木幡巧也,1:38.8,1.1/2,7.2,4,500(0),[東] 伊藤正徳
16,3,5,フレンドゴーゴー,牡3,56,岩部純二,1:40.1,8,166.7,16,484(0),[東] 南田美知
