着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,12,シゲルノコギリザメ,牡4,57,戸崎圭太,1:09.1,,6.4,2,490(0),[西] 谷潔
2,3,6,フジノパンサー,牡4,57,吉田豊,1:09.2,1/2,21.0,8,508(+2),[東] 古賀史生
3,5,10,エナジータウン,牡5,57,シュタル,1:09.2,ハナ,17.8,7,458(0),[西] 藤岡健一
4,2,3,アドマイヤナイト,牝5,55,ルメール,1:09.3,1/2,2.3,1,430(0),[西] 梅田智之
5,1,2,ラインミーティア,牡7,57,内田博幸,1:09.3,アタマ,56.8,12,480(0),[東] 水野貴広
6,5,9,サフィロス,牡5,57,石川裕紀,1:09.5,1.1/4,9.2,4,474(-6),[東] 手塚貴久
7,1,1,コスモフレンチ,牡4,57,丹内祐次,1:09.5,ハナ,60.4,13,520(-2),[東] 岩戸孝樹
8,6,11,サフランハート,牡4,57,武豊,1:09.5,アタマ,9.9,5,436(-6),[西] 北出成人
9,7,14,カトルラポール,牝4,55,北村宏司,1:09.5,アタマ,28.0,10,476(+6),[東] 浅野洋一
10,3,5,イキオイ,牡5,57,松岡正海,1:09.6,クビ,147.5,15,454(-4),[東] 杉浦宏昭
11,8,16,クイーンズターフ,牝5,55,横山典弘,1:09.6,ハナ,21.5,9,486(+6),[東] 石栗龍彦
12,2,4,メジャータイフーン,牝4,55,吉田隼人,1:09.6,ハナ,171.5,16,488(-6),[東] 高柳瑞樹
13,4,7,シルヴァーコード,牝5,55,田辺裕信,1:09.6,ハナ,7.7,3,484(0),[東] 木村哲也
14,8,15,ダイトウキョウ,牡5,57,岩田康誠,1:09.8,1.1/4,13.5,6,464(+2),[東] 戸田博文
15,4,8,ショウナンワダチ,牡6,57,蛯名正義,1:09.8,クビ,54.6,11,490(0),[東] 大竹正博
16,7,13,フィラーレ,牡6,57,江田照男,1:10.1,1.3/4,107.2,14,474(0),[東] 土田稔
