着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,9,マイネルバサラ,牡4,57,柴田大知,1:53.8,,3.2,2,474(0),[東] 松山将樹
2,6,6,シャドウチェイサー,セ5,57,ルメール,1:53.9,3/4,4.3,3,472(+6),[東] 藤沢和雄
3,8,10,スウィフトレイド,牡4,57,シュタル,1:54.1,1.1/4,3.1,1,504(-2),[東] 堀宣行
4,4,4,アサクサスターズ,牡6,57,大野拓弥,1:54.3,1.1/4,16.6,7,494(-2),[東] 加藤征弘
5,3,3,コアレスキング,牡7,57,吉田豊,1:54.4,1/2,14.0,5,548(+2),[東] 尾形充弘
6,1,1,ルファルシオン,牡6,57,戸崎圭太,1:54.4,アタマ,16.3,6,520(+2),[西] 松田国英
7,7,7,カフェリュウジン,牡7,57,吉原寛人,1:54.5,クビ,9.2,4,544(-2),[東] 和田雄二
8,7,8,スノーモンキー,牡7,57,柴山雄一,1:54.5,アタマ,38.4,9,464(-2),[東] 相沢郁
9,5,5,クラシックメタル,セ6,57,石橋脩,1:54.5,ハナ,18.4,8,504(+2),[東] 二ノ宮敬
10,2,2,メリーウィドウ,牝6,55,勝浦正樹,1:55.1,3.1/2,50.4,10,512(-4),[東] 尾形充弘
