着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,9,ショコラブラン,牡5,56,戸崎圭太,1:09.8,,6.0,4,470(+2),[西] 浅見秀一
2,1,1,トキノゲンジ,牡9,56,石橋脩,1:09.8,クビ,225.5,13,506(+6),[西] 西村真幸
3,6,8,カジキ,牡8,57,柴田善臣,1:09.9,3/4,24.7,6,502(-2),[西] 笹田和秀
4,5,6,アールプロセス,牡6,56,石川裕紀,1:09.9,ハナ,8.9,5,512(+2),[東] 萩原清
5,8,12,キタサンミカヅキ,牡7,57,武士沢友,1:10.0,クビ,31.0,8,540(+8),[東] 古賀史生
6,7,11,ゴーイングパワー,牡8,57,大野拓弥,1:10.2,1.1/4,26.8,7,500(0),[西] 岩元市三
7,5,7,ナンチンノン,牡6,57,シュタル,1:10.2,クビ,5.5,3,534(+2),[西] 中竹和也
8,4,4,スウィープアウェイ,牡6,56,柴田大知,1:10.2,アタマ,57.1,10,480(0),[東] 矢野英一
9,8,13,ブルドッグボス,牡5,57,吉田豊,1:10.6,2.1/2,2.7,1,510(-4),[西] 西浦勝一
10,4,5,レッドゲルニカ,牡4,56,北村宏司,1:10.9,1.1/2,3.9,2,548(-2),[東] 藤沢和雄
11,3,3,ワイドエクセレント,牡7,56,木幡初広,1:11.0,1/2,170.9,12,554(-4),[東] 尾形和幸
12,2,2,マキャヴィティ,牡6,57,内田博幸,1:11.0,アタマ,36.8,9,506(+2),[東] 萩原清
13,7,10,ポッドガイ,牡4,56,柴山雄一,1:12.2,7,162.7,11,506(0),[東] 武市康男
