着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,10,レッドローゼス,牡3,56,蛯名正義,1:48.9,,1.6,1.0,470(-4),[東] 国枝栄
2,5,5,ゴールドスミス,牡3,56,大野拓弥,1:49.0,3/4,6.3,3.0,524(0),[東] 二ノ宮敬
3,1,1,マイネルラプティス,牡3,56,柴田大知,1:49.1,1/2,8.8,4.0,466(-8),[東] 高橋裕
4,8,9,マイネルベレーロ,牡3,56,シュタル,1:49.4,1.3/4,17.8,6.0,482(-6),[東] 中野栄治
5,2,2,ロジムーン,牡3,56,内田博幸,1:49.4,クビ,5.9,2.0,446(+2),[東] 萩原清
6,7,7,ローリングタワー,牡3,56,柴田善臣,1:49.4,ハナ,13.5,5.0,440(+2),[東] 伊藤伸一
7,4,4,アンノートル,牡3,56,松岡正海,1:50.0,3.1/2,25.9,7.0,472(-6),[東] 池上昌弘
8,7,8,ウォルプタス,牝3,54,石川裕紀,1:51.1,7,104.2,9.0,424(-10),[東] 和田正一
9,3,3,ココホレワンワン,牡3,56,岩部純二,1:51.4,1.3/4,96.8,8.0,470(-4),[東] 伊藤正徳
取,6,6,バルデス,牡3,56,戸崎圭太,,,---,,計不,[東] 木村哲也
