着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,11,アレスバローズ,牡5,56,Ｍ．デム,1:08.4,,2.3,1,490(-2),[西] 角田晃一
2,4,7,ロードセレリティ,牡4,57,三浦皇成,1:08.6,1,9.3,4,494(+4),[東] 高柳瑞樹
3,8,16,アドマイヤナイト,牝5,54,戸崎圭太,1:08.6,ハナ,4.1,2,442(-2),[西] 梅田智之
4,5,10,トシザキミ,牝6,52,江田照男,1:08.6,クビ,81.9,15,486(+2),[西] 鮫島一歩
5,8,15,アルマエルナト,セ6,54,柴田大知,1:08.6,アタマ,19.9,7,476(+24),[東] 伊藤大士
6,4,8,クリノハッチャン,牝6,50,武士沢友,1:08.7,クビ,54.9,11,464(-2),[東] 高市圭二
7,7,13,ラクアミ,牝5,52,柴田善臣,1:08.8,1/2,37.9,10,454(+6),[西] 音無秀孝
8,3,5,オールインワン,牡4,57,ボウマン,1:09.0,1.1/4,9.1,3,492(-2),[西] 浜田多実
9,2,4,メイショウブイダン,牡6,53,村田一誠,1:09.0,ハナ,148.8,16,464(-4),[西] 西浦勝一
10,7,14,ハピネス,牝6,52,西田雄一,1:09.0,クビ,32.6,9,490(-16),[西] 千田輝彦
11,5,9,メイショウスイヅキ,牝4,52,横山典弘,1:09.0,ハナ,15.5,5,474(+2),[西] 本田優
12,1,1,アイライン,牝5,53,内田博幸,1:09.1,クビ,57.3,12,478(+10),[東] 高橋裕
13,2,3,クインズサリナ,牝3,52,北村宏司,1:09.2,1/2,15.7,6,448(-2),[西] 西村真幸
14,3,6,イオラニ,セ6,54,田辺裕信,1:09.7,3,24.8,8,488(+10),[東] 栗田博憲
15,6,12,モズハツコイ,牝6,53,松岡正海,1:09.7,クビ,68.2,13,474(-2),[西] 牧田和弥
16,1,2,ウエスタンユーノー,牝6,52,横山和生,1:09.9,1.1/4,69.8,14,488(-2),[東] 菊沢隆徳
