着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,11,セイウンコウセイ,牡4,55,松田大作,1:08.0,,10.1,5,494(+2),[東] 上原博之
2,6,12,セカンドテーブル,牡5,56,武豊,1:08.2,1.1/4,3.8,2,484(+2),[西] 崎山博樹
3,3,6,ラインスピリット,牡6,58,森一馬,1:08.3,3/4,31.1,9,446(+2),[西] 松永昌博
4,4,7,アットウィル,牡7,56,北村友一,1:08.5,1.1/2,19.7,8,500(+2),[西] 高橋義忠
5,5,9,シンボリディスコ,牡7,56,丹内祐次,1:08.6,クビ,45.2,11,494(+4),[東] 高橋祥泰
6,2,4,ヒルノデイバロー,牡6,56,四位洋文,1:08.7,3/4,14.7,6,522(+2),[西] 昆貢
7,1,2,ローレルベローチェ,牡6,58,中井裕二,1:08.7,クビ,7.1,4,504(0),[西] 飯田雄三
8,3,5,トータルヒート,牝6,54,川田将雅,1:08.8,クビ,16.0,7,466(+8),[西] 平田修
9,1,1,サドンストーム,牡8,57,フォーリ,1:08.8,ハナ,46.5,12,484(+2),[西] 西浦勝一
10,8,15,フミノムーン,牡5,56,幸英明,1:09.0,1.1/2,3.6,1,464(+4),[西] 西浦勝一
11,7,13,トウショウピスト,牡5,56,ルメール,1:09.1,1/2,6.8,3,494(+8),[西] 角田晃一
12,5,10,ホッコーサラスター,牝6,54,池添謙一,1:09.2,1/2,51.7,13,474(-4),[西] 飯田祐史
13,4,8,オウノミチ,牡6,56,浜中俊,1:09.2,ハナ,40.8,10,486(+6),[西] 佐々木晶
14,7,14,ジャストドゥイング,牡5,56,藤岡康太,1:09.4,1.1/4,54.3,14,560(+6),[西] 中竹和也
15,2,3,ヤサカオディール,牝8,54,嶋田純次,1:09.5,3/4,414.8,16,438(-10),[東] 水野貴広
16,8,16,ラズールリッキー,牝4,53,黛弘人,1:09.6,クビ,100.4,15,448(-2),[東] 武井亮
