着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,1,ナムラカブト,牡3,56,Ｍ．デム,1:52.1,,5.5,3,498(-4),[西] 中村均
2,8,14,シンギュラリティ,牡3,56,ムーア,1:52.6,3,2.6,2,490(-8),[西] 松田国英
3,3,4,ダノンケンリュウ,牡3,56,松若風馬,1:52.9,1.3/4,15.8,5,478(+12),[西] 音無秀孝
4,2,2,アウラマイスター,牡3,56,幸英明,1:53.2,2,11.0,4,508(-8),[西] 大根田裕
5,6,10,コエレ,牡3,56,鮫島良太,1:53.7,3,23.9,6,462(+2),[西] 西橋豊治
6,5,8,メイショウハチク,牡3,56,池添謙一,1:53.9,1,2.6,1,466(+4),[西] 南井克巳
7,4,6,ワイルドソング,牡3,56,岩田康誠,1:53.9,アタマ,25.7,7,540(+20),[東] 古賀史生
8,5,7,モードザナゲット,牝3,54,フォーリ,1:54.5,3.1/2,26.1,8,502(-6),[西] 荒川義之
9,7,12,ゲットグローリー,牡3,56,和田竜二,1:55.3,5,79.7,10,490(+4),[西] 北出成人
10,4,5,ビーソニック,牡3,53,森裕太朗,1:55.8,3,72.2,9,452(0),[西] 牧田和弥
11,6,9,ヤマニンレナータ,牝3,54,岡田祥嗣,1:56.8,6,271.9,13,466(0),[東] 田島俊明
12,7,11,ハッピーパーティー,牝3,53,義英真,1:57.5,4,110.6,11,442(-4),[東] 小西一男
13,8,13,バトルセキトバ,牡3,56,熊沢重文,1:57.6,3/4,152.9,12,514(0),[東] 牧光二
14,3,3,タマモパレード,セ3,54,城戸義政,1:57.6,クビ,481.7,14,432(-4),[東] 伊藤圭三
