着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,13,ダイアナヘイロー,牝4,55,武豊,1:07.7,,4.9,2,470(+4),[西] 福島信晴
2,5,9,ニシノラッシュ,牡5,57,幸英明,1:07.7,ハナ,70.0,11,488(+8),[西] 宮本博
3,1,1,コウエイタケル,牡6,57,秋山真一,1:07.8,3/4,14.9,5,494(+4),[西] 山内研二
4,3,5,ナガラフラワー,牝5,55,高倉稜,1:07.9,クビ,51.7,10,472(+6),[西] 高橋亮
5,6,12,アレスバローズ,牡5,57,菱田裕二,1:07.9,クビ,6.5,4,492(+2),[西] 角田晃一
6,4,8,ダノンルージュ,牝7,55,松若風馬,1:07.9,アタマ,26.2,8,492(-4),[西] 寺島良
7,5,10,アズマクィーン,牝5,55,岩崎翼,1:07.9,ハナ,161.3,15,480(+8),[西] 河内洋
8,2,4,デンコウウノ,牡6,57,鮫島良太,1:08.0,1/2,85.8,12,496(-2),[西] 渡辺薫彦
9,6,11,オーヴィレール,牝4,55,浜中俊,1:08.0,アタマ,2.2,1,478(+2),[西] 今野貞一
10,8,16,ドラゴンストリート,牡6,57,和田竜二,1:08.1,クビ,33.5,9,482(+2),[西] 藤原英昭
11,4,7,ライブリシュネル,牡7,57,鮫島克駿,1:08.2,1/2,363.0,16,482(0),[西] 森田直行
12,2,3,リッパーザウィン,牡5,57,中谷雄太,1:08.4,1.1/4,26.1,7,512(-4),[西] 矢作芳人
13,3,6,ウィットウォーター,牝6,55,太宰啓介,1:08.5,3/4,108.7,13,448(-2),[西] 高橋康之
14,8,15,ラクアミ,牝5,55,ホワイト,1:08.6,1/2,23.7,6,450(-2),[西] 音無秀孝
15,7,14,トシザキミ,牝6,55,荻野極,1:09.2,3.1/2,111.7,14,490(-4),[西] 鮫島一歩
16,1,2,オールインワン,牡4,57,松山弘平,1:09.7,3,5.9,3,486(+6),[西] 浜田多実
