着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,7,タガノヴェローナ,牝3,51,藤懸貴志,1:44.9,,7.9,4,468(0),[西] 中村均
2,3,5,タイマツリ,牡6,53,森裕太朗,1:44.9,クビ,27.8,9,464(-8),[西] 大橋勇樹
3,3,6,ビスカリア,牝5,54,松山弘平,1:45.2,1.1/2,3.5,1,474(+2),[西] 山内研二
4,2,4,トーコーグリーン,牡7,53,幸英明,1:45.2,クビ,77.9,14,506(-10),[西] 橋田満
5,1,2,ロードプレステージ,牡5,53,北村友一,1:45.3,1/2,42.1,11,458(+10),[西] 杉山晴紀
6,8,16,シーリーヴェール,牡6,55,Ｍ．デム,1:45.4,1/2,7.7,3,478(-6),[西] 杉山晴紀
7,5,9,タガノグルナ,牡3,53,鮫島良太,1:45.5,1/2,3.8,2,474(-4),[西] 大根田裕
8,6,11,キョウワランサー,牡6,55,ホワイト,1:45.6,1/2,11.5,6,464(-4),[西] 五十嵐忠
9,5,10,メイショウトリトン,牡7,53,高倉稜,1:45.6,クビ,91.0,15,468(-12),[西] 藤沢則雄
10,8,15,スターリーウインド,牝5,52,和田竜二,1:45.8,1.1/2,41.6,10,480(+2),[西] 今野貞一
11,2,3,メイショウグジョウ,牡3,53,武豊,1:45.9,クビ,14.5,7,462(+6),[西] 浅見秀一
12,1,1,テイエムリヴィエラ,牝6,51,鮫島克駿,1:45.9,クビ,149.9,16,494(+12),[西] 浜田多実
13,7,13,コスモピーコック,牝5,51,三津谷隼,1:46.3,2.1/2,69.0,13,484(-12),[西] 中村均
14,7,14,サンライズワールド,セ7,54,秋山真一,1:46.4,クビ,60.1,12,444(-8),[西] 石坂正
15,4,8,ヴェゼール,牡4,56,岩崎翼,1:46.6,1.1/2,22.7,8,544(+2),[西] 河内洋
16,6,12,ウラガーノ,牝3,51,酒井学,1:46.9,2,9.3,5,522(+6),[西] 吉村圭司
