着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,14,リュウツバメ,牝7,55,秋山真一,0:55.9,,11.1,6,550(+6),[東] 和田正道
2,2,4,フェザリータッチ,牡4,57,鮫島克駿,0:55.9,クビ,9.6,5,444(-6),[西] 吉田直弘
3,6,12,ハートイズハート,牡4,57,藤田菜七,0:56.1,3/4,7.9,3,466(+2),[東] 中野栄治
4,5,10,ホザンナ,牝5,55,杉原誠人,0:56.1,ハナ,172.6,16,500(-2),[東] 佐藤吉勝
5,8,15,アリエスムーン,牝6,55,加藤祥太,0:56.3,1.1/2,4.6,2,442(+2),[西] 庄野靖志
6,5,9,スミレタンポポ,牝5,55,勝浦正樹,0:56.5,3/4,100.4,14,430(+4),[東] 高橋義博
7,7,13,サトノアイリ,牝4,55,石橋脩,0:56.6,1/2,8.1,4,432(0),[東] 宗像義忠
8,6,11,カゼノシッポ,牝4,55,津村明秀,0:56.6,ハナ,39.6,12,430(+4),[東] 武藤善則
9,4,7,サチノクイーン,牝6,55,藤岡康太,0:56.6,クビ,3.6,1,478(-4),[西] 千田輝彦
10,1,1,スズカファイン,牡5,57,坂井瑠星,0:56.8,1.1/4,12.0,7,490(+4),[西] 橋田満
11,2,3,コウユーココロザシ,牝5,55,木幡初也,0:56.9,1/2,16.5,8,516(0),[東] 石栗龍彦
12,3,6,ペイザージュ,牝4,55,小崎綾也,0:56.9,クビ,29.0,10,480(-10),[西] 大久保龍
13,1,2,アドマイヤジャズ,牡5,57,丸山元気,0:57.1,1,40.5,13,474(+8),[西] 友道康夫
14,4,8,バトルハルトマン,牡4,57,酒井学,0:57.2,1/2,32.9,11,524(+6),[西] 本田優
15,3,5,アロースコルトン,牡4,57,宮崎北斗,0:57.4,1.1/4,167.9,15,472(-4),[東] 蛯名利弘
16,8,16,ワンダフルラスター,牡5,57,菱田裕二,0:57.7,2,25.1,9,520(+2),[西] 橋口慎介
