着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,2,アクート,牡4,57,ルメール,1:46.2,,4.5,3,432(0),[東] 宗像義忠
2,6,6,レッドアーサー,牡3,54,岩田康誠,1:46.4,1.1/4,20.6,6,472(+10),[東] 戸田博文
3,8,10,ルネイション,牝4,55,内田博幸,1:46.6,1.1/4,3.7,2,440(-8),[東] 栗田徹
4,3,3,ゴールドハット,牡3,54,武豊,1:46.8,1.1/4,2.6,1,418(+10),[西] 角居勝彦
5,1,1,ジュンファイトクン,牡5,57,吉田豊,1:47.0,1.1/4,26.0,7,460(+12),[西] 森秀行
6,7,8,ローズクランス,牡4,57,津村明秀,1:47.0,ハナ,6.5,4,508(+6),[東] 手塚貴久
7,4,4,ジュンヴァリアス,牡3,54,菱田裕二,1:47.2,1,11.9,5,442(-10),[東] 畠山吉宏
8,8,9,ネオヴェルザンディ,牝4,55,北村宏司,1:47.5,1.3/4,30.3,8,472(+12),[東] 鹿戸雄一
9,7,7,ウェルブレッド,牡5,57,吉田隼人,1:47.5,クビ,50.8,9,446(+8),[東] 加藤征弘
10,5,5,シンボリネルソン,牡6,57,木幡巧也,1:48.7,7,314.8,10,446(-2),[東] 石毛善彦
