着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,1,プライムセラー,セ4,57,石橋脩,2:12.3,,4.4,2,504(+8),[東] 和田正一
2,8,16,ジュンファイトクン,牡5,57,勝浦正樹,2:12.3,クビ,12.7,6,446(-6),[西] 森秀行
3,2,4,アインザッツ,牡4,57,中谷雄太,2:12.4,1/2,32.3,12,468(+4),[西] 大久保龍
4,4,8,マイネルツィール,牡4,57,的場勇人,2:12.5,3/4,17.2,9,484(+6),[東] 的場均
5,2,3,アドマイヤローザ,牝3,52,丸山元気,2:12.6,クビ,6.2,3,472(+4),[西] 梅田智之
6,8,17,メイケイレジェンド,牡4,57,富田暁,2:12.6,クビ,15.2,7,478(0),[西] 木原一良
7,8,15,シャインブライト,牡4,57,吉田隼人,2:12.7,1/2,8.7,4,472(-10),[東] 池上昌和
8,7,13,フォンス,牡4,57,北村友一,2:12.7,ハナ,4.2,1,480(0),[西] 藤原英昭
9,4,7,ミルトプレスト,牡3,54,木幡初也,2:12.8,クビ,16.4,8,514(+10),[東] 佐藤吉勝
10,6,11,ウォーブル,牝3,52,丹内祐次,2:12.8,クビ,23.5,11,464(-2),[東] 伊藤大士
11,5,9,マイブルーヘブン,牡3,54,鮫島克駿,2:12.9,1/2,12.0,5,462(+4),[西] 高橋義忠
12,1,2,ハギノカエラ,牝4,55,坂井瑠星,2:13.5,3.1/2,99.7,14,418(-2),[西] 鮫島一歩
13,3,5,ヴィガーエッジ,セ4,57,木幡巧也,2:13.6,1/2,112.0,15,480(-4),[東] 池上昌和
14,7,14,ハッピーチャンス,牝4,55,丸田恭介,2:14.1,3,185.8,16,478(-12),[東] 高橋文雅
15,6,12,リセエンヌ,牝4,55,秋山真一,2:14.2,3/4,17.5,10,430(+2),[西] 荒川義之
16,5,10,スズカホワイト,牡3,54,古川吉洋,2:14.3,クビ,80.1,13,514(+12),[西] 南井克巳
17,3,6,ロザンジェ,牡3,54,木幡初広,2:14.3,クビ,200.8,17,458(-12),[東] 杉浦宏昭
