着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,12,ベルモントラハイナ,牝6,51,藤田菜七,0:55.1,,18.8,10,482(-6),[東] 和田正道
2,7,15,レッドラウダ,牡4,58,北村友一,0:55.1,アタマ,3.9,1,516(+10),[西] 音無秀孝
3,5,10,ファド,牝4,53,丸山元気,0:55.1,クビ,9.0,4,490(-6),[東] 矢野英一
4,8,16,ジャストザヨコハマ,牡5,54,木幡巧也,0:55.2,クビ,16.6,9,510(-4),[西] 牧浦充徳
5,3,6,ファイブフォース,牝3,52,加藤祥太,0:55.2,アタマ,10.7,5,486(0),[東] 栗田徹
6,1,2,マジックシャトル,牡5,55,鮫島克駿,0:55.3,1/2,40.6,11,498(-6),[西] 清水久詞
7,8,17,マイアベーア,牡5,55,丸田恭介,0:55.6,1.3/4,5.0,2,462(+4),[西] 西村真幸
8,8,18,タイキパラドックス,牡5,53,荻野琢真,0:55.7,3/4,45.3,12,450(-4),[西] 寺島良
9,7,13,ワカコマタイヨウ,牝3,51,横山和生,0:55.7,ハナ,16.5,8,440(-2),[東] 武市康男
10,7,14,ダイイチターミナル,牡3,54,杉原誠人,0:55.8,1/2,12.1,6,438(+2),[東] 高市圭二
11,2,3,トルシュローズ,牝4,53,古川吉洋,0:55.9,3/4,14.3,7,458(+2),[西] 高橋亮
12,4,8,アイファーサラオー,牡5,53,藤懸貴志,0:55.9,ハナ,53.9,13,498(+4),[西] 橋口慎介
13,6,11,ソレイユフルール,牝3,52,原田和真,0:55.9,アタマ,6.1,3,484(+10),[東] 和田雄二
14,3,5,グランデサムライ,牡5,53,勝浦正樹,0:56.0,3/4,56.6,14,460(-2),[西] 吉田直弘
15,4,7,レディーピンク,牝7,51,木幡育也,0:56.2,1.1/4,159.4,17,464(+4),[東] 伊藤正徳
16,1,1,グリューヴァイン,牝5,51,中谷雄太,0:56.3,クビ,91.2,15,450(-12),[西] 牧田和弥
17,2,4,レトロクラシック,牝5,52,黛弘人,0:56.3,クビ,139.0,16,500(0),[東] 伊藤正徳
18,5,9,デンコウヒノマル,牡6,53,柴山雄一,0:56.4,クビ,221.5,18,474(-16),[西] 坂口正則
