着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,2,パールズベスト,牝3,54,福永祐一,1:10.7,,3.7,2,450(-4),[西] 高橋亮
2,4,7,デンコウアリオン,牡3,56,池添謙一,1:10.8,3/4,3.5,1,472(-6),[西] 本田優
3,7,13,スマートサクソン,牝3,54,藤岡佑介,1:11.1,1.3/4,10.9,6,486(+2),[西] 浅見秀一
4,2,3,ミステリーモリオン,牡3,56,菱田裕二,1:11.3,1,8.7,5,470(-4),[東] 岩戸孝樹
5,5,10,アドマイヤホルン,牝3,54,三浦皇成,1:11.3,クビ,6.4,3,398(+2),[西] 中尾秀正
6,4,8,マイネルプラヌール,牡3,56,柴田大知,1:11.3,ハナ,8.3,4,428(+8),[東] 和田正道
7,8,15,マリーナプリンセス,牝3,53,坂井瑠星,1:11.3,ハナ,20.8,9,432(0),[東] 高橋裕
8,1,1,サンマルペンダント,牝3,54,竹之下智,1:11.9,3.1/2,18.1,7,458(+14),[西] 千田輝彦
9,8,16,スマイルウィーク,牝3,54,岩田康誠,1:12.1,1,28.6,10,434(-2),[東] 斎藤誠
10,7,14,ハナエミ,牝3,53,木幡初也,1:12.2,1/2,124.8,11,414(+6),[東] 本間忍
11,3,6,ラブパレード,牝3,54,横山和生,1:12.3,1/2,180.0,13,466(+2),[東] 菊沢隆徳
12,2,4,ベルウッドカペラ,牡3,56,荻野琢真,1:12.5,1.1/4,136.1,12,448(-2),[西] 高橋康之
13,3,5,クリュティエ,牝3,54,藤岡康太,1:12.6,3/4,20.3,8,456(+6),[東] 松山将樹
14,6,12,フレンドリーナイト,牡3,53,横山武史,1:12.9,1.3/4,237.1,14,452(-16),[東] 松山将樹
15,5,9,クララフトゥーラ,牝3,53,井上敏樹,1:13.0,クビ,347.9,16,420(-10),[東] 高橋義博
16,6,11,ナイスメジャー,牡3,56,中井裕二,1:16.2,大,306.2,15,488(-4),[東] 伊藤伸一
