着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,15,ポイントブランク,牡7,55,蛯名正義,1:23.7,,15.3,7,542(-4),[西] 松下武士
2,3,6,ラインシュナイダー,牡5,55,石川裕紀,1:23.8,3/4,14.7,6,470(-4),[西] 沖芳夫
3,1,2,ワンダーサジェス,牝4,53,戸崎圭太,1:24.2,2.1/2,13.5,5,482(-4),[西] 石橋守
4,5,10,ブラインドサイド,セ8,56,ルメール,1:24.4,3/4,4.7,2,504(0),[東] 加藤征弘
5,6,11,イーグルフェザー,牡4,56,ムーア,1:24.6,1.1/4,2.3,1,486(0),[東] 小笠倫弘
6,8,16,ドラゴンゲート,牡5,55,田辺裕信,1:24.6,クビ,8.8,3,490(-6),[東] 小西一男
7,6,12,ショウナンカサロ,牝5,52,吉田豊,1:24.7,1/2,41.2,11,466(-2),[東] 古賀史生
8,7,14,クワドループル,牡5,54,四位洋文,1:24.9,1,92.9,15,502(-2),[東] 小島太
9,2,3,スズカシャーマン,牝6,52,津村明秀,1:25.0,1/2,75.1,13,460(-14),[西] 藤沢則雄
10,4,8,スティンライクビー,牡5,54,勝浦正樹,1:25.1,クビ,193.0,16,488(+6),[東] 田村康仁
11,2,4,タマモイレブン,牡5,54,石橋脩,1:25.1,クビ,84.0,14,524(+4),[西] 中竹和也
12,1,1,サクラエンパイア,牡4,54,川田将雅,1:25.2,1/2,20.6,8,468(-2),[東] 堀宣行
13,4,7,サクセスグローリー,牡6,55,内田博幸,1:25.3,1/2,9.4,4,562(+8),[西] 藤原英昭
14,7,13,ナンヨーカノン,牝7,52,柴田善臣,1:25.3,アタマ,37.8,10,468(-4),[西] 松永幹夫
15,3,5,メガオパールカフェ,牡6,54,木幡巧也,1:25.3,ハナ,66.4,12,550(-2),[東] 小島太
16,5,9,ヨシオ,牡4,54,吉原寛人,1:25.7,2.1/2,27.9,9,470(-2),[西] 森秀行
