着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,11,レアリスタ,牡5,57,ルメール,1:59.2,,1.8,1,490(+16),[東] 堀宣行
2,2,2,ヴォージュ,牡4,57,内田博幸,1:59.2,クビ,6.5,2,506(-26),[西] 西村真幸
3,7,9,パワースラッガー,牡6,57,柴田善臣,1:59.5,1.3/4,7.1,3,490(-4),[東] 菊川正達
4,4,4,レッドルーファス,牡7,57,大野拓弥,1:59.7,1.1/4,14.7,7,508(0),[東] 藤沢和雄
5,5,5,ネイチャーレット,牡4,57,野中悠太,1:59.7,クビ,9.4,4,464(-2),[東] 根本康広
6,8,10,ウインオリアート,牝6,55,石川裕紀,1:59.9,1.1/4,92.7,11,444(+8),[東] 鹿戸雄一
7,3,3,サンライズタイセイ,牡7,57,柴田大知,2:00.0,3/4,80.2,10,468(-14),[西] 浜田多実
8,7,8,シャドウウィザード,セ7,57,田中勝春,2:00.3,1.3/4,13.0,6,484(-2),[東] 勢司和浩
9,1,1,リスペクトアース,牡4,57,横山典弘,2:00.9,3.1/2,12.9,5,546(+2),[東] 小笠倫弘
10,6,7,ロスカボス,牡4,57,和田竜二,2:01.2,2,20.1,8,498(-14),[西] 高野友和
11,6,6,ロングシャドウ,牡7,57,江田照男,2:01.3,1/2,55.9,9,518(+2),[東] 宗像義忠
