着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,14,マイネルユキツバキ,牡2,54,柴田大知,1:27.1,,2.1,1.0,500(0),[東] 高木登
2,1,2,コスモジョーカー,牡2,54,津村明秀,1:27.8,4,24.2,6.0,458(0),[東] 和田雄二
3,2,4,タマスカイブルー,牡2,54,石川裕紀,1:27.9,3/4,14.3,5.0,470(0),[東] 相沢郁
4,5,10,ミスティカル,牡2,54,横山典弘,1:28.0,クビ,3.2,2.0,458(0),[東] 田村康仁
5,3,6,ムルシェラゴ,牡2,54,北村宏司,1:29.0,6,10.4,3.0,514(0),[東] 奥村武
6,4,7,ドリュウ,牡2,54,岩部純二,1:29.0,クビ,59.3,10.0,432(0),[東] 土田稔
7,8,16,ウサギノパンチ,牡2,54,石橋脩,1:29.8,5,36.7,7.0,440(0),[東] 堀井雅広
8,2,3,ファイアプルーフ,牡2,51,藤田菜七,1:30.0,1.1/4,45.9,9.0,498(0),[東] 根本康広
9,3,5,オペラカイジン,牡2,54,吉田豊,1:31.2,7,13.7,4.0,450(0),[東] 小西一男
10,6,11,ノーホームワーク,牡2,52,伴啓太,1:31.8,3.1/2,150.0,14.0,464(0),[東] 和田正一
11,5,9,アリーヤベント,牝2,54,大野拓弥,1:31.9,クビ,91.1,12.0,442(0),[東] 萱野浩二
12,4,8,マロンスライム,牡2,54,伊藤工真,1:32.1,1.1/4,144.3,13.0,420(0),[東] 石毛善彦
13,6,12,キャンドルロード,牡2,54,宮崎北斗,1:32.2,3/4,77.1,11.0,468(0),[東] 高橋義博
14,7,13,モッポサン,牡2,54,嘉藤貴行,1:32.5,1.3/4,44.9,8.0,492(0),[東] 田中清隆
15,1,1,クラウンレガシー,セ2,54,西田雄一,1:33.5,6,201.3,15.0,490(0),[東] 田中剛
除,8,15,パーラミター,牝2,54,江田照男,,,---,,490(0),[東] 伊藤伸一
