着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,7,クインズサターン,牡4,56,戸崎圭太,1:35.2,,2.3,1,466(-4),[西] 野中賢二
2,1,2,メガオパールカフェ,牡6,52,蛯名正義,1:35.7,3,163.5,15,544(+10),[東] 小島太
3,5,10,オールマンリバー,牡5,56,武豊,1:35.7,クビ,5.7,2,506(-2),[西] 五十嵐忠
4,3,6,レッドオルバース,牡5,55,内田博幸,1:36.0,2,7.0,4,502(-2),[東] 国枝栄
5,7,14,エネスク,牡4,57,田辺裕信,1:36.1,1/2,12.6,5,510(+2),[東] 和田雄二
6,4,8,ベルウッドケルン,牡5,54,江田照男,1:36.3,1.1/4,281.8,16,488(+12),[東] 本間忍
7,7,13,ガンサリュート,牡3,53,福永祐一,1:36.7,2.1/2,22.9,8,508(-2),[西] 安田隆行
8,2,3,シャドウチェイサー,セ5,56,ルメール,1:36.9,1.1/4,16.6,7,478(-2),[東] 藤沢和雄
9,6,12,ロードフォワード,牡6,53,三浦皇成,1:36.9,ハナ,36.9,9,452(+2),[東] 岩戸孝樹
10,8,15,サンライズネオ,牡7,54,柴田大知,1:37.0,1/2,67.2,12,480(-4),[西] 石坂正
11,5,9,ヨシオ,牡4,55,荻野極,1:37.2,1.1/2,47.2,10,472(-8),[西] 森秀行
12,1,1,ウインフェニックス,牡6,55,松岡正海,1:37.2,ハナ,14.3,6,482(+2),[東] 奥平雅士
13,3,5,ドラゴンシュバリエ,牡4,54,岩田康誠,1:37.8,3.1/2,6.7,3,500(-2),[西] 角田晃一
14,8,16,メイクアップ,牡6,54,森泰斗,1:38.4,3.1/2,105.5,13,472(+2),[西] 谷潔
15,6,11,スティンライクビー,セ5,52,柴田善臣,1:38.8,2.1/2,117.1,14,472(+4),[東] 竹内正洋
16,2,4,スリーアロー,牝6,52,武士沢友,1:39.0,1.1/4,54.1,11,490(-8),[西] 南井克巳
