着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,9,ヒストリア,牝3,53,勝浦正樹,1:47.1,,7.0,4,444(0),[東] 栗田徹
2,2,2,オールドクラシック,牡4,57,柴田大知,1:47.1,クビ,29.0,9,476(-12),[西] 矢作芳人
3,4,4,スマートエレメンツ,牡3,55,三浦皇成,1:47.3,1.1/4,7.6,5,502(+6),[東] 鹿戸雄一
4,1,1,ゴールドスミス,牡3,55,シュミノ,1:47.3,アタマ,4.6,2,526(-2),[東] 二ノ宮敬
5,3,3,ロードプレミアム,牡4,57,石橋脩,1:47.4,クビ,2.8,1,490(0),[東] 斎藤誠
6,7,7,フォワードカフェ,牡5,57,柴山雄一,1:47.4,アタマ,32.3,10,522(0),[東] 小島太
7,6,6,ニシノアモーレ,牝3,53,内田博幸,1:47.4,クビ,6.4,3,430(-2),[東] 上原博之
8,7,8,オンタケハート,牡6,57,大野拓弥,1:47.5,クビ,22.2,8,488(-4),[東] 伊藤大士
9,8,10,エアピザレー,牡6,57,田辺裕信,1:47.8,1.3/4,11.3,6,478(-2),[東] 高柳瑞樹
10,5,5,ジュニエーブル,牡3,55,古川吉洋,1:47.9,1/2,18.5,7,450(+4),[東] 竹内正洋
