着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,15,マイネルミラノ,牡7,57.5,丹内祐次,1:58.5,,13.2,7,484(-2),[東] 相沢郁
2,6,12,フェルメッツァ,牡6,54.0,秋山真一,1:58.6,1/2,20.7,8,458(-6),[西] 松永幹夫
3,7,14,サンデーウィザード,牡5,55.0,内田博幸,1:58.7,1/2,4.6,1,450(0),[西] 大久保龍
4,2,3,バロンドゥフォール,セ7,53.0,木幡巧也,1:58.8,1/2,59.4,14,472(-12),[東] 久保田貴
5,3,6,ショウナンバッハ,牡6,54.0,木幡初也,1:58.8,ハナ,28.6,10,446(-6),[東] 上原博之
6,8,16,ステイインシアトル,牡6,55.0,吉田隼人,1:58.9,1/2,5.6,2,492(-4),[西] 池江泰寿
7,6,11,ケイティープライド,牡7,52.0,鮫島克駿,1:58.9,ハナ,22.8,9,490(-2),[西] 角田晃一
8,3,5,アジュールローズ,牡4,55.0,柴山雄一,1:58.9,アタマ,7.9,4,510(+18),[東] 古賀慎明
9,5,9,シャイニープリンス,牡7,56.5,津村明秀,1:59.0,クビ,8.3,5,492(-4),[東] 栗田博憲
10,4,8,トルークマクト,牡7,54.0,蛯名正義,1:59.1,1/2,8.8,6,466(-2),[東] 尾関知人
11,2,4,バーディーイーグル,牡7,53.0,加藤祥太,1:59.2,1/2,37.5,13,494(0),[東] 国枝栄
12,1,1,ウインインスパイア,牡6,53.0,丸山元気,1:59.2,クビ,29.9,11,452(-4),[東] 高橋祥泰
13,5,10,デウスウルト,セ9,53.0,中谷雄太,1:59.4,1.1/2,89.9,15,466(-12),[西] 平田修
14,1,2,シャイニングレイ,牡5,55.0,北村友一,1:59.5,クビ,5.8,3,532(-6),[西] 高野友和
15,7,13,シャドウパーティー,セ8,54.0,石橋脩,1:59.6,3/4,31.2,12,490(-14),[東] 堀宣行
16,4,7,トウシンイーグル,セ9,53.0,佐久間寛,2:01.4,大,266.4,16,480(0),[西] 山内研二
