着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,10,ステイブラビッシモ,牡4,57,戸崎圭太,2:41.2,,1.6,1,462(+4),[東] 久保田貴
2,7,8,プライムセラー,セ4,57,内田博幸,2:41.2,ハナ,7.8,4,498(-32),[東] 和田正一
3,1,1,コウキチョウサン,牡4,57,石神深一,2:41.5,2,5.8,2,448(+4),[東] 和田正一
4,6,6,サムワンライクユー,牡4,57,柴田大知,2:41.7,1.1/2,101.8,8,464(+11),[東] 小島茂之
5,7,7,マコトギンスバーグ,牡5,57,吉田豊,2:41.7,ハナ,11.5,5,466(0),[東] 尾形充弘
6,3,3,コスモヴェッキオ,牡4,57,宮崎北斗,2:41.9,1.1/2,134.3,9,462(-8),[東] 小笠倫弘
7,5,5,メルドオール,牡5,57,北村宏司,2:42.0,クビ,41.1,7,438(-18),[東] 高橋祥泰
8,8,9,ウインカートゥーン,牡4,57,津村明秀,2:42.3,1.3/4,7.7,3,486(-2),[西] 西園正都
9,4,4,サーブルノワール,牡3,54,田中勝春,2:43.0,4,12.3,6,496(-4),[東] 小島太
10,2,2,ツクバインドラ,牡7,57,丸田恭介,2:48.3,大,195.7,10,466(-2),[東] 石毛善彦
