着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,1,ラホーヤビーチ,牝5,52,横山武史,1:08.5,,18.1,8,460(-10),[東] 伊藤正徳
2,5,9,イキオイ,牡5,55,三浦皇成,1:08.7,1.1/4,27.5,10,446(-2),[東] 杉浦宏昭
3,3,5,タケショウベスト,牝3,54,吉田隼人,1:08.7,クビ,2.4,1,462(+2),[東] 田中清隆
4,3,6,ブラックバード,セ5,55,戸崎圭太,1:08.9,1,8.8,4,468(+2),[東] 武市康男
5,4,8,キョウワゼノビア,牝4,55,秋山真一,1:08.9,クビ,8.3,3,484(+16),[西] 角田晃一
6,7,14,ショウナンワダチ,牡6,55,柴田善臣,1:08.9,ハナ,94.6,13,482(-10),[東] 大竹正博
7,2,3,ゼンノコリオリ,牡7,54,高田潤,1:09.0,クビ,138.7,15,472(+8),[西] 高橋亮
8,4,7,ハッピーノリチャン,牝5,54,シュミノ,1:09.0,ハナ,6.1,2,444(-14),[東] 黒岩陽一
9,5,10,ウインソワレ,牝5,53,柴田大知,1:09.1,1/2,12.5,6,476(-8),[西] 宮本博
10,7,13,サフィロス,牡5,56,石橋脩,1:09.2,3/4,21.7,9,480(+2),[東] 手塚貴久
11,8,15,クローソー,牝5,52,北村友一,1:09.3,3/4,17.1,7,424(0),[西] 平田修
12,8,16,ウーマッハ,牝3,52,勝浦正樹,1:09.4,1/2,74.6,12,464(0),[東] 古賀史生
13,6,12,ブロワ,牝4,52,杉原誠人,1:09.6,1.1/4,29.7,11,468(-2),[東] 尾関知人
14,1,2,エムオービーナス,牝3,51,木幡初也,1:09.7,1/2,95.7,14,468(+10),[東] 鹿戸雄一
15,2,4,ファド,牝4,53,丸山元気,1:09.7,クビ,11.9,5,492(+2),[東] 矢野英一
16,6,11,マンハッタンヘンジ,牡6,53,伴啓太,1:09.8,クビ,273.6,16,506(+8),[東] 柴田政人
