着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,8,ペルシアンナイト,牡3,56,Ｍ．デム,1:34.1,,1.9,1,482(+4),[西] 池江泰寿
2,8,12,レッドアンシェル,牡3,56,浜中俊,1:34.6,3,11.5,6,456(+2),[西] 庄野靖志
3,2,2,ディバインコード,牡3,56,柴田善臣,1:34.8,1.1/4,7.4,3,486(+2),[東] 栗田博憲
4,8,11,ヴゼットジョリー,牝3,55,川田将雅,1:35.0,1.1/2,10.2,5,462(+2),[西] 中内田充
5,5,5,ジョーストリクトリ,牡3,56,武豊,1:35.2,1,37.3,8,502(-6),[西] 清水久詞
6,6,7,ナンヨーマーズ,牡3,56,ルメール,1:35.4,1.1/4,27.3,7,454(-6),[西] 清水久詞
7,3,3,キョウヘイ,牡3,57,高倉稜,1:35.5,3/4,7.7,4,428(0),[西] 宮本博
8,7,9,ミラアイトーン,牡3,56,武幸四郎,1:35.7,1,5.4,2,510(-4),[西] 池江泰寿
9,5,6,リンクスゼロ,牡3,56,松若風馬,1:35.9,1.1/4,108.8,11,458(-4),[西] 森秀行
10,7,10,スーパーモリオン,牡3,56,幸英明,1:36.4,3,135.9,12,484(-10),[西] 浅見秀一
11,1,1,カロス,牡3,56,池添謙一,1:37.1,4,101.0,10,486(0),[西] 池添兼雄
12,4,4,レヴァンテライオン,牡3,57,岩田康誠,1:38.6,9,42.9,9,484(-6),[西] 矢作芳人
