着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,5,サウススターマン,牡6,57,川田将雅,1:23.2,,2.8,1.0,520(0),[西] 加用正
2,6,10,ラインシュナイダー,牡5,57,武豊,1:23.2,クビ,3.6,2.0,472(+2),[西] 沖芳夫
3,7,13,センターピース,牡5,57,ルメール,1:23.4,1.1/2,11.8,5.0,478(-4),[西] 石坂正
4,6,11,カネトシビバーチェ,牝6,55,岩田康誠,1:23.9,3,28.6,7.0,456(0),[西] 大橋勇樹
5,4,6,アキトクレッセント,牡5,57,荻野極,1:23.9,アタマ,4.0,3.0,508(+6),[西] 清水久詞
6,5,9,メイショウアイアン,牡7,57,和田竜二,1:24.0,3/4,15.1,6.0,500(+6),[西] 高橋義忠
7,2,2,エリアコンプリート,牡8,57,幸英明,1:24.1,1/2,70.6,10.0,478(-2),[西] 大根田裕
8,7,12,トレジャーステイト,牝5,55,福永祐一,1:24.3,1.1/4,29.5,8.0,466(-4),[西] 奥村豊
9,4,7,ブラックジョー,セ4,57,Ｍ．デム,1:24.5,1.1/2,10.4,4.0,474(+4),[西] 安達昭夫
10,8,14,アチーヴ,牡7,57,四位洋文,1:24.6,クビ,78.4,11.0,482(0),[西] 加藤敬二
11,3,4,ランドマーキュリー,牡7,57,国分恭介,1:24.6,クビ,204.7,14.0,516(-4),[西] 安達昭夫
12,8,15,ナンヨーマーク,牡6,57,浜中俊,1:24.9,1.1/2,91.7,12.0,524(+6),[西] 松田国英
13,1,1,スズカシャーマン,牝6,55,小牧太,1:25.1,1.1/4,69.8,9.0,466(+6),[西] 藤沢則雄
14,2,3,パイメイメイ,牝6,55,高倉稜,1:25.2,3/4,169.1,13.0,496(+8),[東] 鈴木伸尋
取,5,8,ヒロブレイブ,牡4,57,鮫島良太,,,---,,計不,[西] 川村禎彦
