着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,9,スマートアヴァロン,牡5,56.0,Ｍ．デム,1:22.3,,1.9,1.0,516(0),[西] 西園正都
2,6,11,マッチレスヒーロー,牡6,54.0,和田竜二,1:22.5,1.1/4,13.9,5.0,480(-4),[東] 金成貴史
3,8,15,キタサンサジン,牡5,55.0,川須栄彦,1:22.6,1/2,7.0,3.0,526(0),[西] 梅田智之
4,4,7,サウススターマン,牡6,54.0,川田将雅,1:22.6,クビ,5.7,2.0,522(+2),[西] 加用正
5,6,12,パーティードレス,牝6,52.0,浜中俊,1:22.7,1/2,13.5,4.0,478(0),[西] 松永幹夫
6,3,5,ナガラオリオン,牡8,56.0,四位洋文,1:22.7,クビ,15.7,6.0,474(0),[西] 大根田裕
7,8,16,ダノングッド,牡5,55.0,福永祐一,1:22.8,クビ,18.0,8.0,506(0),[西] 村山明
8,4,8,イッテツ,牡5,54.0,藤岡康太,1:22.9,1/2,36.4,10.0,482(-8),[東] 斎藤誠
9,2,4,トミケンユークアイ,セ8,52.0,秋山真一,1:22.9,クビ,133.9,14.0,492(-12),[東] 和田正道
10,1,2,イースターパレード,セ8,54.0,松山弘平,1:23.1,1.1/2,130.3,13.0,524(+2),[西] 平田修
11,5,10,メイショウオセアン,牡6,53.0,小牧太,1:23.2,クビ,55.8,11.0,542(-4),[西] 池添兼雄
12,7,13,タールタン,牡9,57.5,ルメール,1:23.2,クビ,16.8,7.0,514(+10),[西] 吉村圭司
13,1,1,ポメグラネイト,牡6,54.0,藤岡佑介,1:23.3,1/2,30.6,9.0,574(+8),[西] 牧田和弥
14,3,6,フミノファルコン,牡7,52.0,太宰啓介,1:23.3,ハナ,200.4,15.0,534(-14),[西] 目野哲也
15,2,3,シゲルカガ,牡6,54.0,酒井学,1:23.4,3/4,108.1,12.0,518(+2),[西] 谷潔
取,7,14,ウォータールルド,牡9,55.0,幸英明,,,---,,計不,[西] 岡田稲男
