着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,3,ガンコ,牡4,57,藤岡佑介,2:25.0,,54.4,7,494(+4),[西] 松元茂樹
2,6,6,ラヴィエベール,牡4,57,シュミノ,2:25.3,2,1.4,1,496(0),[東] 藤沢和雄
3,1,1,アドマイヤジョラス,牡3,55,藤岡康太,2:25.7,2.1/2,6.6,2,472(-2),[西] 梅田智之
4,7,8,マイネルレオーネ,牡5,57,和田竜二,2:25.9,1.1/4,20.0,5,398(-2),[西] 清水久詞
5,5,5,サトノリュウガ,牡3,55,北村友一,2:25.9,クビ,7.6,3,474(+8),[西] 平田修
6,8,10,メイショウカミシマ,牡3,55,幸英明,2:26.4,3,7.9,4,452(+2),[西] 石橋守
7,4,4,ビップレボルシオン,牡6,57,松若風馬,2:26.5,3/4,25.0,6,520(-4),[西] 清水久詞
8,8,9,ダブルイーグル,牡9,57,小牧太,2:26.5,ハナ,129.4,8,484(+4),[西] 西橋豊治
9,2,2,コスモボアソルテ,牡5,57,丹内祐次,2:26.7,1.1/4,159.8,9,510(+10),[東] 蛯名利弘
10,7,7,ダイシンロイ,牡6,57,松山弘平,2:27.5,5,161.2,10,474(0),[西] 吉田直弘
