着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,5,ソーグリッタリング,牡4,57,Ｍ．デム,1:33.1,,1.6,1,470(-2),[西] 池江泰寿
2,7,9,オーマイガイ,牡5,57,酒井学,1:33.3,1.1/2,35.7,7,468(0),[西] 河内洋
3,4,4,カフジバンガード,牡3,54,和田竜二,1:33.5,1.1/4,5.4,2,474(-4),[西] 松元茂樹
4,6,6,エルプシャフト,牡5,57,福永祐一,1:33.8,2,7.5,4,454(-4),[西] 中竹和也
5,3,3,ロッテンマイヤー,牝5,55,松山弘平,1:33.8,クビ,30.1,6,490(+8),[西] 池添学
6,8,10,ナイトバナレット,牡4,57,国分優作,1:34.0,1.1/4,42.8,8,470(-2),[西] 矢作芳人
7,2,2,チャレアーダ,牝4,55,荻野極,1:34.0,クビ,16.4,5,468(+2),[西] 中内田充
8,6,7,カイザーバル,牝5,55,幸英明,1:34.2,1,6.4,3,480(-2),[西] 中竹和也
9,1,1,ヴェゼール,牡5,57,浜中俊,1:34.7,3,97.4,9,552(+10),[西] 河内洋
10,7,8,アドマイヤツヨシ,牡8,57,松若風馬,1:34.9,1,235.8,10,474(-10),[西] 梅田智之
11,8,11,ダイシンロイ,牡7,57,高倉稜,1:35.1,1.1/4,500.8,11,470(-4),[西] 吉田直弘
