着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,2,オハナ,牝3,54,石橋脩,1:36.0,,1.6,1,412(0),[東] 堀宣行
2,5,6,ダンツクレイオー,牝3,54,蛯名正義,1:36.2,1,43.2,7,480(+12),[西] 本田優
3,4,4,ラソワドール,牝3,54,田辺裕信,1:36.3,1/2,5.5,2,512(+14),[東] 戸田博文
4,1,1,ナスノカツラ,牝3,54,横山典弘,1:36.5,1.1/4,11.6,5,454(+2),[東] 矢野英一
5,7,9,ジョブックコメン,牝3,54,内田博幸,1:36.6,3/4,18.4,6,420(0),[東] 小桧山悟
6,7,10,ロードライト,牝3,54,嶋田純次,1:36.6,ハナ,58.0,9,412(-4),[東] 手塚貴久
7,6,7,ハナザカリ,牝3,54,江田照男,1:36.6,ハナ,178.1,11,468(-6),[東] 粕谷昌央
8,8,11,リープフラウミルヒ,牝3,54,柴田大知,1:36.7,クビ,51.5,8,416(+8),[東] 相沢郁
9,3,3,ミスマンマミーア,牝3,54,森泰斗,1:36.7,クビ,10.5,4,438(-8),[地] 佐藤賢二
10,8,12,レッドシャーロット,牝3,54,戸崎圭太,1:36.9,1.1/2,6.0,3,456(+8),[西] 庄野靖志
11,6,8,カガプラナス,牝3,54,田中勝春,1:37.1,1.1/4,377.6,12,410(0),[東] 萱野浩二
12,5,5,トウカイベリンダ,牝3,54,北村宏司,1:37.7,3.1/2,71.4,10,466(+10),[東] 栗田徹
