着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,7,エポカドーロ,牡3,57,戸崎圭太,2:00.8,,14.5,7,492(0),[西] 藤原英昭
2,7,14,サンリヴァル,牡3,57,藤岡佑介,2:01.1,2,24.6,9,488(-12),[西] 藤岡健一
3,5,10,ジェネラーレウーノ,牡3,57,田辺裕信,2:01.4,1.3/4,17.8,8,496(0),[東] 矢野英一
4,8,15,ステルヴィオ,牡3,57,ルメール,2:01.4,クビ,3.7,2,460(-6),[東] 木村哲也
5,3,5,キタノコマンドール,牡3,57,Ｍ．デム,2:01.4,ハナ,6.3,3,502(+12),[西] 池江泰寿
6,6,12,グレイル,牡3,57,岩田康誠,2:01.4,ハナ,25.1,10,494(0),[西] 野中賢二
7,1,2,ワグネリアン,牡3,57,福永祐一,2:01.6,1.1/2,3.5,1,452(+2),[西] 友道康夫
8,3,6,アイトーン,牡3,57,国分恭介,2:01.8,1,70.7,12,472(-2),[西] 五十嵐忠
9,2,3,ジャンダルム,牡3,57,武豊,2:01.8,アタマ,9.6,4,492(+8),[西] 池江泰寿
10,1,1,タイムフライヤー,牡3,57,内田博幸,2:01.9,3/4,12.3,6,454(-4),[西] 松田国英
11,4,8,ケイティクレバー,牡3,57,浜中俊,2:02.0,クビ,54.3,11,444(-2),[西] 安田翔伍
12,5,9,オウケンムーン,牡3,57,北村宏司,2:02.2,1.1/4,9.7,5,454(-4),[東] 国枝栄
13,6,11,マイネルファンロン,牡3,57,柴田大知,2:02.3,3/4,151.8,13,460(+2),[東] 手塚貴久
14,7,13,ダブルシャープ,牡3,57,和田竜二,2:02.5,1,159.5,14,466(-6),[西] 渡辺薫彦
15,8,16,ジュンヴァルロ,牡3,57,大野拓弥,2:03.1,4,315.0,15,486(0),[西] 友道康夫
16,2,4,スリーヘリオス,牡3,57,柴田善臣,2:04.4,8,410.4,16,484(+4),[西] 村山明
