着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,12,モズスーパーフレア,牝3,52,武豊,1:07.0,,3.8,2,472(0),[西] 音無秀孝
2,1,2,アドマイヤナイト,牝6,54,丸山元気,1:07.6,3.1/2,16.4,7,438(+4),[西] 梅田智之
3,6,11,ナンヨーアミーコ,牡5,56,柴田善臣,1:07.7,3/4,6.1,3,432(+2),[東] 宗像義忠
4,5,10,ダイトウキョウ,牡6,55,田辺裕信,1:07.7,クビ,19.1,8,464(+2),[東] 戸田博文
5,7,13,アッラサルーテ,牝5,54,石橋脩,1:07.8,クビ,11.2,6,500(+14),[東] 手塚貴久
6,8,15,カイザーメランジェ,牡3,54,戸崎圭太,1:07.8,クビ,9.6,5,454(+8),[東] 中野栄治
7,2,4,フクノグローリア,牝6,51,木幡初也,1:07.9,3/4,176.6,14,476(+16),[東] 杉浦宏昭
8,5,9,レーヴムーン,牡5,56,藤岡康太,1:08.0,クビ,8.7,4,472(+2),[西] 藤岡健一
9,7,14,トシザキミ,牝7,51,酒井学,1:08.1,1/2,34.5,10,494(0),[西] 鮫島一歩
10,4,8,ワンアフター,牡5,55,ルメール,1:08.1,クビ,3.4,1,460(0),[西] 西村真幸
11,3,6,ドラゴンストリート,牡7,54,松岡正海,1:08.2,1/2,200.4,15,478(-8),[東] 田島俊明
12,1,1,キングクリチャン,牡9,52,山田敬士,1:08.3,1/2,204.1,16,508(-8),[東] 高市圭二
13,3,5,ブロワ,牝5,51,杉原誠人,1:08.3,ハナ,25.7,9,480(0),[東] 大江原哲
14,4,7,ペイシャルアス,牝3,51,武藤雅,1:08.4,1/2,63.8,11,472(-16),[西] 坂口正則
15,2,3,テンテマリ,牝7,51,藤田菜七,1:08.4,クビ,130.4,13,436(-8),[東] 柄崎孝
16,8,16,スペチアーレ,牝6,53,柴田大知,1:08.5,1/2,82.7,12,508(+2),[東] 矢野英一
