着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,4,ウインファビラス,牝5,53,内田博幸,1:48.5,,14.3,7.0,478(0),[東] 畠山吉宏
2,3,3,パイオニアバイオ,牝3,53,柴田善臣,1:48.5,クビ,2.5,1.0,436(+2),[東] 牧光二
3,7,11,アッフィラート,牝5,53,三浦皇成,1:48.6,3/4,4.8,3.0,446(0),[西] 藤原英昭
4,6,9,ティソーナ,セ5,55,杉原誠人,1:48.7,1/2,14.0,6.0,506(+8),[東] 藤沢和雄
5,5,6,ビッシュ,牝5,55,大野拓弥,1:48.7,ハナ,4.8,2.0,432(-10),[東] 鹿戸雄一
6,7,10,メイショウキトラ,牡7,52,勝浦正樹,1:48.9,1.1/4,23.8,9.0,500(+2),[西] 牧浦充徳
7,6,8,エマノン,牝5,52,松山弘平,1:49.1,1.1/4,13.8,5.0,488(-6),[西] 平田修
8,8,13,ギブアンドテイク,セ7,55,蛯名正義,1:49.2,クビ,10.0,4.0,476(+2),[東] 鹿戸雄一
9,5,7,コスモイグナーツ,牡3,52,柴田大知,1:49.4,1.1/2,50.2,11.0,460(-2),[東] 高橋祥泰
10,4,5,ベアインマインド,牝5,53,藤田菜七,1:49.4,ハナ,22.6,8.0,432(+6),[東] 加藤征弘
11,1,1,コパノマリーン,牝5,52,木幡巧也,1:49.6,1,36.9,10.0,444(-18),[東] 斎藤誠
12,8,12,セセリ,牡7,51,瀧川寿希,1:50.3,4,179.5,12.0,520(+12),[西] 森秀行
取,2,2,ダノンアイリス,牝5,52,横山典弘,,,---,,計不,[東] 尾関知人
