着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,3,ミスパンテール,牝4,56,横山典弘,1:32.7,,9.9,5,512(-2),[西] 昆貢
2,4,7,リバティハイツ,牝3,54,北村友一,1:32.8,1/2,33.5,10,450(+8),[西] 高野友和
3,3,6,デンコウアンジュ,牝5,55,柴田善臣,1:32.8,クビ,58.3,13,462(+6),[西] 荒川義之
4,7,13,フロンテアクイーン,牝5,55,マーフィ,1:32.9,クビ,8.3,4,474(-2),[東] 国枝栄
5,6,11,ディメンシオン,牝4,53,福永祐一,1:32.9,クビ,8.0,3,450(-8),[西] 藤原英昭
6,5,9,レッドオルガ,牝4,54,Ｃ．デム,1:33.0,1/2,13.7,6,450(+2),[西] 藤原英昭
7,1,2,リナーテ,牝4,53,三浦皇成,1:33.0,アタマ,23.3,9,480(+8),[西] 須貝尚介
8,5,10,プリモシーン,牝3,55,ビュイッ,1:33.0,ハナ,3.1,1,500(+6),[東] 木村哲也
9,6,12,ミエノサクシード,牝5,55,川島信二,1:33.1,クビ,39.5,12,458(-6),[西] 高橋亮
10,2,4,ハーレムライン,牝3,52,大野拓弥,1:33.1,アタマ,20.9,8,474(+2),[東] 田中清隆
11,3,5,フローレスマジック,牝4,54,ルメール,1:33.1,アタマ,3.9,2,480(+10),[東] 木村哲也
12,7,14,カイザーバル,牝5,53,四位洋文,1:33.2,3/4,34.2,11,486(-4),[西] 中竹和也
13,4,8,キョウワゼノビア,牝5,52,田中勝春,1:33.3,3/4,200.7,16,486(+8),[西] 角田晃一
14,8,15,カワキタエンカ,牝4,55,池添謙一,1:33.4,クビ,19.3,7,466(-4),[西] 浜田多実
15,1,1,アンコールプリュ,牝3,52,藤岡康太,1:34.4,6,183.7,15,424(-10),[西] 友道康夫
16,8,16,リエノテソーロ,牝4,55,田辺裕信,1:34.5,3/4,147.1,14,460(+6),[東] 武井亮
