着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,8,ポポカテペトル,牡4,57,川田将雅,2:25.6,,2.6,1,484(+6),[西] 友道康夫
2,7,10,アドマイヤエイカン,牡5,56,池添謙一,2:25.8,1.1/4,4.6,2,502(-2),[西] 須貝尚介
3,2,2,ペンタトニック,牡7,55,松山弘平,2:25.9,3/4,28.0,8,508(+6),[西] 大久保龍
4,6,7,マウントゴールド,牡5,56,酒井学,2:26.0,3/4,7.3,4,442(+2),[西] 池江泰寿
5,1,1,マイネルレオーネ,牡6,54,国分恭介,2:26.2,1.1/4,64.2,10,398(+2),[西] 清水久詞
6,4,4,スズカビスタ,牡7,54,幸英明,2:26.3,1/2,46.7,9,462(-4),[西] 谷潔
7,7,9,ヤマカツポセイドン,牡9,53,国分優作,2:26.3,クビ,293.9,12,476(-2),[西] 大根田裕
8,5,5,ミルトプレスト,牡4,54,松若風馬,2:26.4,クビ,11.8,7,496(-4),[東] 佐藤吉勝
9,8,11,メイショウキトラ,牡7,53,鮫島良太,2:26.5,3/4,167.0,11,496(+10),[西] 牧浦充徳
10,5,6,ダノンディスタンス,牡4,55,藤岡佑介,2:26.7,1.1/2,6.5,3,522(-4),[西] 佐々木晶
11,3,3,メイケイレジェンド,牡5,54,四位洋文,2:27.0,1.3/4,9.3,5,488(+6),[西] 木原一良
中,8,12,ケンホファヴァルト,牡5,56,荻野極,,,10.7,6,464(+4),[西] 森秀行
