着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,2,サトノダイヤモンド,牡5,57,川田将雅,2:25.4,,2.3,2,512(+4),[西] 池江泰寿
2,4,4,レッドジェノヴァ,牝4,54,池添謙一,2:25.5,1/2,12.9,4,486(0),[東] 小島茂之
3,5,5,アルバート,牡7,57,モレイラ,2:25.8,1.3/4,12.7,3,478(-2),[東] 堀宣行
4,7,8,シュヴァルグラン,牡6,58,福永祐一,2:26.0,1,2.2,1,472(-2),[西] 友道康夫
5,3,3,ブレスジャーニー,牡4,56,和田竜二,2:26.1,3/4,26.1,7,458(0),[西] 佐々木晶
6,8,11,ウインテンダネス,牡5,57,菱田裕二,2:26.4,2,14.2,5,504(+2),[西] 杉山晴紀
7,6,6,ケントオー,牡6,56,小牧太,2:26.5,3/4,194.9,10,460(-4),[西] 西橋豊治
8,7,9,スマートレイアー,牝8,55,浜中俊,2:26.5,アタマ,14.6,6,480(+12),[西] 大久保龍
9,1,1,モンドインテロ,牡6,56,松山弘平,2:26.6,クビ,125.0,9,484(+2),[東] 手塚貴久
10,8,10,サンエイゴールド,牡5,56,山本聡哉,2:27.3,4,259.3,11,500(+1),[地] 瀬戸幸一
11,6,7,プラチナムバレット,牡4,56,幸英明,2:27.3,クビ,37.0,8,478(+10),[西] 河内洋
