着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,11,アーモンドアイ,牝3,55,ルメール,1:58.5,,1.3,1.0,480(+14),[東] 国枝栄
2,7,13,ミッキーチャーム,牝3,55,川田将雅,1:58.7,1.1/2,15.6,5.0,452(+2),[西] 中内田充
3,1,2,カンタービレ,牝3,55,武豊,1:58.9,1,14.0,3.0,434(0),[西] 中竹和也
4,3,5,サラキア,牝3,55,池添謙一,1:59.0,3/4,14.3,4.0,442(-8),[西] 池添学
5,1,1,ラテュロス,牝3,55,秋山真一,1:59.0,ハナ,156.8,13.0,418(0),[西] 高野友和
6,2,4,ランドネ,牝3,55,戸崎圭太,1:59.1,クビ,62.2,8.0,506(-2),[西] 中竹和也
7,8,16,プリモシーン,牝3,55,北村宏司,1:59.1,ハナ,22.0,6.0,494(+6),[東] 木村哲也
8,7,14,ゴージャスランチ,牝3,55,横山典弘,1:59.3,1.1/4,117.1,10.0,500(+2),[東] 鹿戸雄一
9,4,7,ラッキーライラック,牝3,55,北村友一,1:59.3,クビ,7.3,2.0,510(+18),[西] 松永幹夫
10,5,9,サトノガーネット,牝3,55,浜中俊,1:59.4,クビ,254.3,15.0,434(-4),[西] 矢作芳人
11,4,8,トーセンブレス,牝3,55,藤岡佑介,1:59.4,アタマ,127.9,11.0,454(-2),[東] 加藤征弘
12,3,6,パイオニアバイオ,牝3,55,柴田善臣,2:00.0,3.1/2,96.3,9.0,432(0),[東] 牧光二
13,8,18,ダンサール,牝3,55,Ｍ．デム,2:00.1,1/2,25.1,7.0,518(-2),[西] 須貝尚介
14,5,10,オールフォーラヴ,牝3,55,幸英明,2:00.3,1.1/4,135.4,12.0,454(-12),[西] 中内田充
15,7,15,ハーレムライン,牝3,55,大野拓弥,2:01.0,4,344.4,17.0,458(-18),[東] 田中清隆
16,6,12,オスカールビー,牝3,55,川須栄彦,2:01.4,2.1/2,220.0,14.0,486(+4),[西] 矢作芳人
17,8,17,サヤカチャン,牝3,55,高倉稜,2:02.0,3.1/2,290.1,16.0,448(+4),[西] 田所秀孝
取,2,3,スカーレットカラー,牝3,55,岩田康誠,,,---,,計不,[西] 高橋亮
