着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,8,ゴールデンブレイヴ,牡5,55,ルメール,1:43.6,,3.7,2.0,500(+2),[東] 木村哲也
2,7,12,フリーフリッカー,牡4,55,北村友一,1:43.8,1.1/4,4.6,3.0,474(+2),[西] 安田隆行
3,2,2,チャイマックス,牝5,51,藤懸貴志,1:44.1,1.3/4,76.8,11.0,488(+18),[西] 池添学
4,3,4,エンクエントロス,牡6,55,木幡初也,1:44.2,1/2,18.0,7.0,498(-6),[東] 黒岩陽一
5,6,10,タガノヴェローナ,牝4,54,国分恭介,1:44.3,1/2,12.7,5.0,482(+10),[西] 中村均
6,3,3,ヒルノサルバドール,牡5,55,横山武史,1:44.4,3/4,3.5,1.0,448(-2),[西] 昆貢
7,4,5,サハラファイター,牡5,56,川島信二,1:44.5,クビ,41.5,9.0,520(-4),[西] 山内研二
8,4,6,ワンパーセント,牡5,54,岩田康誠,1:44.5,ハナ,5.7,4.0,472(+4),[東] 中川公成
9,5,7,メイショウイッポン,牡4,54,藤岡康太,1:44.6,1/2,15.8,6.0,494(-2),[西] 大橋勇樹
10,1,1,ストロベリーキング,セ7,53,川須栄彦,1:45.5,5,61.0,10.0,466(0),[西] 崎山博樹
11,6,9,エリモグレイス,牡5,52,黛弘人,1:45.6,1/2,199.6,13.0,492(-2),[東] 中野栄治
12,8,13,ヴォカツィオーネ,牝4,54,丹内祐次,1:46.1,3,18.4,8.0,466(+24),[西] 田所秀孝
13,7,11,シトロプシス,牝5,50,菊沢一樹,1:46.1,クビ,143.0,12.0,464(+4),[東] 畠山吉宏
除,8,14,サウスザスナイパー,牡4,57,松岡正海,,,---,,530(-2),[西] 加用正
