着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,6,エアアンセム,牡7,55.0,藤岡佑介,1:59.8,,9.6,5,500(-6),[西] 吉村圭司
2,2,3,サクラアンプルール,牡7,57.5,田辺裕信,1:59.9,1/2,11.5,7,478(-8),[東] 金成貴史
3,8,14,エテルナミノル,牝5,54.0,四位洋文,2:00.0,1/2,65.1,13,462(-4),[西] 本田優
4,6,10,ブレスジャーニー,牡4,56.0,柴田善臣,2:00.0,ハナ,6.6,2,456(0),[西] 佐々木晶
5,3,5,スズカデヴィアス,牡7,57.0,三浦皇成,2:00.1,1/2,7.9,3,512(0),[西] 橋田満
6,4,7,トリコロールブルー,牡4,56.0,ルメール,2:00.2,1/2,3.1,1,494(+2),[西] 友道康夫
7,8,15,ゴールドサーベラス,牡6,54.0,柴山雄一,2:00.4,1.1/4,90.1,15,444(-4),[東] 清水英克
8,7,13,ナイトオブナイツ,牡5,56.0,池添謙一,2:00.4,クビ,10.4,6,458(+10),[西] 池添兼雄
9,7,12,ナスノセイカン,牡6,55.0,丸山元気,2:00.5,クビ,55.0,12,478(+2),[東] 矢野英一
10,1,1,ブラックバゴ,牡6,56.0,岩田康誠,2:00.6,3/4,8.1,4,534(+4),[東] 斎藤誠
11,2,2,カデナ,牡4,56.0,藤岡康太,2:00.6,クビ,40.4,11,470(0),[西] 中竹和也
12,5,8,ロジチャリス,牡6,56.0,蛯名正義,2:00.8,1.1/4,88.6,14,558(-4),[東] 国枝栄
13,3,4,クラウンディバイダ,牡5,54.0,吉田隼人,2:00.9,3/4,18.7,9,470(-6),[東] 斎藤誠
14,6,11,マイネルハニー,牡5,57.0,丹内祐次,2:01.4,3,11.5,8,480(-10),[東] 栗田博憲
15,5,9,カレンラストショー,牡6,54.0,北村友一,2:02.5,7,32.3,10,450(+6),[西] 橋口慎介
