着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,4,ベルダニューブ,牝3,54,藤岡康太,1:09.3,,9.1,3,450(-4),[西] 藤岡健一
2,1,1,オメガプランタン,牡3,56,ルメール,1:09.3,クビ,1.8,1,428(-2),[西] 安田隆行
3,1,2,メイショウイライザ,牝3,51,西村淳也,1:09.4,1/2,13.0,5,428(-8),[西] 松永昌博
4,7,14,ファルコンレイナ,牝3,52,横山武史,1:09.5,1/2,135.5,13,404(+2),[東] 伊藤伸一
5,7,13,ホウオウサンドラ,牝3,54,藤岡佑介,1:09.5,クビ,24.3,7,466(+8),[西] 宮徹
6,3,5,マリーツァ,牝3,53,木幡初也,1:09.5,ハナ,33.7,9,458(+4),[東] 宗像義忠
7,2,3,マイラティーシャ,牝3,54,松岡正海,1:09.5,アタマ,4.7,2,430(-2),[西] 加用正
8,4,8,ケイココサージュ,牝3,54,三浦皇成,1:09.6,1/2,18.6,6,446(+4),[西] 坂口正則
9,3,6,スキップガール,牝3,54,荻野琢真,1:09.6,クビ,25.1,8,464(+4),[西] 寺島良
10,6,12,チムニースイーパー,牡3,56,国分恭介,1:09.7,1/2,47.2,10,406(-2),[西] 森田直行
11,5,9,ヤマニンルリエ,牝3,54,四位洋文,1:09.8,クビ,57.7,11,448(-10),[西] 千田輝彦
12,5,10,ナンヨーセゾニエ,牝3,54,岩田康誠,1:10.0,1.1/4,12.6,4,440(+12),[東] 宗像義忠
13,8,15,チャノカオリ,牝3,52,菊沢一樹,1:10.1,1/2,74.1,12,418(-4),[西] 大根田裕
14,4,7,ラッキーユー,牡3,56,丹内祐次,1:10.1,クビ,170.8,14,458(+15),[東] 中川公成
15,6,11,キュプリーヌス,牝3,53,井上敏樹,1:10.9,5,324.4,16,408(-6),[東] 小桧山悟
16,8,16,センターフィールド,牝3,54,古川吉洋,1:11.4,3,204.9,15,460(-2),[西] 武英智
