着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,5,テーオーフォルテ,牡4,56,藤岡佑介,2:38.3,,2.7,1,506(-10),[西] 藤岡健一
2,8,11,ミルトプレスト,牡4,56,中谷雄太,2:38.7,2.1/2,17.9,8,508(+6),[東] 佐藤吉勝
3,4,4,グローブシアター,牡4,56,藤岡康太,2:38.9,1,3.5,2,436(-12),[西] 角居勝彦
4,2,2,メイショウブシン,牡8,57,松若風馬,2:39.1,1.1/2,73.4,10,474(-12),[西] 沖芳夫
5,5,6,タイセイアプローズ,牡6,57,秋山真一,2:39.2,クビ,13.8,7,480(0),[西] 宮本博
6,1,1,マコトガラハッド,セ5,57,鮫島克駿,2:39.3,1/2,10.9,5,488(-4),[西] 鮫島一歩
7,8,12,ジャッキー,牡4,56,丸山元気,2:39.4,3/4,9.1,4,486(-2),[東] 高橋祥泰
8,7,9,アドマイヤメテオ,セ7,57,北村友一,2:39.4,クビ,6.6,3,454(-2),[西] 須貝尚介
9,7,10,ミトノグラス,牡5,57,柴山雄一,2:39.8,2.1/2,11.7,6,476(-4),[西] 大橋勇樹
10,6,8,メイショウオオゼキ,セ8,57,城戸義政,2:39.9,1/2,256.9,12,488(+2),[西] 池添兼雄
11,3,3,プティットクルール,牝4,54,田中健,2:40.0,3/4,64.7,9,426(-12),[西] 宮徹
12,6,7,コスモバーダン,牡6,57,丹内祐次,2:40.4,2.1/2,90.8,11,520(-2),[東] 水野貴広
