着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,12,ダンツペンダント,牝5,55,岩崎翼,1:47.4,,14.1,6,506(-4),[西] 本田優
2,6,10,エマノン,牝5,55,松山弘平,1:47.4,アタマ,9.1,4,492(-10),[西] 平田修
3,6,9,エッジースタイル,牝5,55,菱田裕二,1:47.5,1/2,4.0,2,472(+2),[西] 高橋義忠
4,4,6,ブライトムーン,牝4,55,藤岡康太,1:47.5,クビ,6.1,3,420(-2),[西] 大久保龍
5,3,4,クリノサンスーシ,牝5,55,丸山元気,1:47.6,クビ,41.0,11,434(-4),[西] 大根田裕
6,2,2,レッドベリンダ,牝6,55,木幡初也,1:47.6,クビ,14.4,7,460(-8),[東] 古賀慎明
7,4,5,ヤマニンエルフィン,牝7,55,田中健,1:47.7,1/2,9.7,5,504(0),[西] 松下武士
8,5,8,アルマレイモミ,牝5,55,柴山雄一,1:47.7,クビ,17.3,9,450(0),[西] 西浦勝一
9,5,7,ウインクルサルーテ,牝5,55,秋山真一,1:47.8,クビ,15.6,8,428(0),[西] 高橋亮
10,7,11,トウカイシェーン,牝5,55,太宰啓介,1:47.9,1/2,35.1,10,458(+2),[西] 北出成人
11,8,14,マユキ,牝7,55,山口勲,1:48.0,3/4,128.0,13,494(+8),[西] 森秀行
12,8,13,リングオブハピネス,牝5,55,松若風馬,1:48.2,1.1/4,56.3,12,468(-4),[西] 奥村豊
13,1,1,タンタグローリア,牝4,55,吉田隼人,1:48.2,ハナ,3.5,1,386(-8),[西] 藤原英昭
14,3,3,ジェイラー,牝5,55,丹内祐次,1:48.6,2.1/2,151.8,14,450(+6),[東] 菊川正達
