着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,2,ヨカグラ,セ5,60,西谷誠,3:41.3,,23.5,6,480(0),[西] 中竹和也
2,5,5,アップトゥデイト,牡8,62,白浜雄造,3:41.7,2.1/2,1.2,1,532(-2),[西] 佐々木晶
3,6,6,アグリッパーバイオ,牡7,60,高田潤,3:42.5,5,11.7,3,444(0),[西] 須貝尚介
4,4,4,ゼンノトライブ,牡5,60,難波剛健,3:43.4,5,47.7,8,446(-2),[西] 浅見秀一
5,8,11,タマモワカサマ,牡6,60,平沢健治,3:43.6,1.1/4,9.7,2,488(-6),[西] 五十嵐忠
6,6,7,シゲルスズキ,牡5,60,佐久間寛,3:44.5,5,80.6,10,500(0),[西] 藤沢則雄
7,3,3,ダンツキャンサー,牝7,58,小坂忠士,3:44.5,クビ,18.1,5,490(-2),[西] 谷潔
8,7,8,マイネルプロンプト,セ6,60,森一馬,3:44.8,1.3/4,25.1,7,478(-4),[西] 坂口正則
9,7,9,シゲルクーガー,セ4,60,中村将之,3:45.5,4,188.0,11,466(-22),[西] 川村禎彦
10,1,1,ヴィーヴァギブソン,セ11,60,熊沢重文,3:47.4,大,68.4,9,524(-6),[西] 作田誠二
中,8,10,マイネルフィエスタ,牡8,60,植野貴也,,,13.0,4,508(+2),[西] 中村均
