着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,8,スーパーモリオン,牡4,57,津村明秀,1:11.7,,2.6,1,508(-2),[西] 浅見秀一
2,6,11,ブランメジェール,牝4,55,三浦皇成,1:11.7,ハナ,4.6,2,478(0),[東] 高木登
3,3,4,アッティーヴォ,牡4,57,秋山真一,1:11.8,3/4,9.9,5,456(+6),[西] 大根田裕
4,5,9,アドマイヤシャドウ,牡9,57,川須栄彦,1:11.9,クビ,158.5,13,508(+4),[西] 中尾秀正
5,4,6,エッシャー,セ4,57,丸山元気,1:12.0,3/4,38.1,11,470(-20),[西] 中竹和也
6,8,15,テキスタイルアート,セ6,57,松田大作,1:12.1,クビ,12.9,6,476(0),[東] 栗田博憲
7,7,12,サンビショップ,セ6,57,川島信二,1:12.1,クビ,21.3,8,466(+8),[西] 谷潔
8,2,3,レディーピンク,牝8,55,丹内祐次,1:12.2,クビ,289.8,15,468(+2),[東] 伊藤正徳
9,2,2,エイシンカーニバル,牡6,57,荻野極,1:12.2,クビ,16.6,7,476(0),[西] 今野貞一
10,7,13,ステラルーチェ,牡6,57,丸田恭介,1:12.3,クビ,25.7,9,478(0),[東] 蛯名利弘
11,1,1,クリノシャンボール,牡5,57,和田竜二,1:12.3,ハナ,36.8,10,498(-8),[西] 川村禎彦
12,6,10,ヴォーガ,牡4,57,木幡巧也,1:12.6,1.1/2,50.9,12,456(0),[西] 森秀行
13,8,14,スズカプリズム,牝5,55,石川裕紀,1:12.6,アタマ,7.4,3,478(-2),[西] 橋田満
14,3,5,サクラヴァローレ,牡7,57,勝浦正樹,1:12.9,1.3/4,242.8,14,508(0),[東] 金成貴史
15,4,7,ペイシャバラード,牝5,55,長岡禎仁,1:13.6,4,8.5,4,448(-4),[東] 高市圭二
