着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,13,サイタスリーレッド,牡5,57,津村明秀,1:10.7,,16.8,6,486(+4),[西] 池添兼雄
2,6,8,スティンライクビー,セ6,49,江田照男,1:11.0,2,14.5,5,478(+4),[東] 竹内正洋
3,5,6,ベック,牡7,55,北村宏司,1:11.1,クビ,17.9,7,510(-10),[西] 牧浦充徳
4,8,12,オールドベイリー,牡4,54,中井裕二,1:11.1,ハナ,2.7,1,476(+8),[西] 中内田充
5,6,9,アードラー,牡4,54,戸崎圭太,1:11.2,1/2,4.5,3,466(0),[西] 音無秀孝
6,5,7,ワンダーヴィーヴァ,牡8,53,横山和生,1:11.2,クビ,70.8,9,578(+6),[西] 笹田和秀
7,4,5,ドリームドルチェ,牡6,55,柴田大知,1:11.2,アタマ,10.7,4,510(+8),[東] 根本康広
8,1,1,ヴァーノン,牡7,50,丸田恭介,1:11.4,3/4,94.4,11,506(+4),[東] 高橋文雅
9,7,11,トウショウカウント,牡6,53,岩部純二,1:11.5,3/4,221.6,12,496(+4),[東] 萱野浩二
10,4,4,プロトコル,牡7,55,内田博幸,1:11.5,クビ,43.0,8,532(+12),[東] 牧光二
11,7,10,キョウエイアシュラ,牡11,53,木幡巧也,1:12.2,4,235.2,13,458(+2),[西] 森田直行
12,2,2,ベストマッチョ,セ5,56,石川裕紀,1:12.2,クビ,3.1,2,484(+2),[東] 手塚貴久
13,3,3,キャプテンシップ,牡6,54,石橋脩,1:12.3,クビ,86.3,10,516(0),[西] 森秀行
