着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,9,トウカイレーヌ,牝4,55,鮫島克駿,1:09.2,,5.3,3,420(-8),[西] 安田隆行
2,4,7,ヒロイックアゲン,牝4,55,木幡育也,1:09.3,3/4,13.8,7,480(+2),[東] 加藤和宏
3,8,16,ワイナルダム,牡4,57,津村明秀,1:09.3,ハナ,4.1,2,468(0),[東] 水野貴広
4,3,5,メモリーコロネット,牝3,53,小崎綾也,1:09.4,クビ,16.9,8,448(+10),[西] 大久保龍
5,6,11,ボナデア,牝3,53,宮崎北斗,1:09.6,1.1/4,52.4,11,490(-6),[東] 中川公成
6,1,1,ワールドフォーラブ,牝4,55,松若風馬,1:09.6,クビ,3.5,1,456(+8),[西] 音無秀孝
7,2,4,コパノピエール,牡4,57,川須栄彦,1:09.7,3/4,12.4,5,482(-4),[西] 宮徹
8,6,12,ディアボレット,牝3,53,荻野極,1:09.8,1/2,32.1,10,450(-8),[西] 加用正
9,1,2,ブラウンローズ,牝4,55,丸山元気,1:09.8,クビ,10.2,4,482(+4),[東] 高橋裕
10,4,8,アイムウィッシング,牝5,55,黛弘人,1:09.9,3/4,210.9,17,450(-4),[東] 粕谷昌央
11,3,6,コスモペリドット,牡4,57,丹内祐次,1:09.9,アタマ,19.5,9,508(+32),[東] 高橋祥泰
12,8,18,ヤマノグラップル,牡3,55,横山武史,1:10.1,1,169.4,15,466(+16),[東] 田中清隆
13,2,3,タニマサガール,牝5,55,藤田菜七,1:10.2,1/2,71.8,13,440(+8),[東] 栗田博憲
14,7,13,クルークヴァール,牡3,55,丸田恭介,1:10.2,ハナ,13.6,6,454(+8),[西] 浅見秀一
15,7,14,ユッセ,牝5,55,嘉藤貴行,1:10.6,2.1/2,464.0,18,490(-14),[東] 大江原哲
16,8,17,スワーヴポルトス,牡3,55,松田大作,1:10.7,3/4,108.2,14,432(-16),[西] 庄野靖志
17,7,15,ブラディーリッパー,牝4,55,勝浦正樹,1:10.8,クビ,62.5,12,510(+20),[東] 古賀史生
18,5,10,ヤマニンベリンダ,牝4,55,岩崎翼,1:11.7,5,181.8,16,462(+4),[西] 河内洋
