着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,10,バリングラ,牡4,57,モレイラ,2:45.5,,2.8,1,536(-6),[東] 堀宣行
2,1,1,トロピカルストーム,セ5,57,Ｍ．デム,2:46.0,3,3.4,2,452(+10),[西] 西村真幸
3,3,3,ウォルビスベイ,牡3,54,四位洋文,2:46.3,2,4.6,3,448(+2),[西] 松永幹夫
4,5,6,ピッツィカート,セ5,57,丸山元気,2:46.5,1.1/2,16.7,6,472(+2),[西] 音無秀孝
5,2,2,サトノシャーク,牡4,57,武豊,2:46.5,ハナ,13.1,5,520(-2),[西] 池江泰寿
6,4,4,シャイニーロケット,牡3,54,古川吉洋,2:46.6,1/2,35.2,8,456(-10),[東] 佐藤吉勝
7,6,8,ドルフィンマーク,セ5,57,フォーリ,2:46.8,1,32.4,7,500(-8),[西] 渡辺薫彦
8,6,7,ヴァンクールシルク,牡4,57,ルメール,2:48.6,大,5.5,4,582(0),[東] 木村哲也
9,8,12,ビレッジソング,牝7,55,城戸義政,2:49.0,2.1/2,172.8,10,438(-4),[東] 加藤和宏
10,8,11,ランパートエース,牡3,54,柴山雄一,2:49.5,3,298.7,12,484(+14),[西] 大橋勇樹
11,7,9,エンドウォーニング,牡3,54,長岡禎仁,2:49.9,2,132.7,9,474(-6),[東] 高市圭二
12,5,5,ヴィーヴルサヴィ,牡3,54,黛弘人,2:49.9,ハナ,298.4,11,494(-2),[東] 林徹
