着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,5,ムーンクエイク,セ5,56,ルメール,1:19.5,,7.1,4,504(0),[東] 藤沢和雄
2,8,17,キャンベルジュニア,牡6,56,石橋脩,1:19.5,アタマ,17.4,7,546(+2),[東] 堀宣行
3,1,1,サトノアレス,牡4,56,蛯名正義,1:19.5,ハナ,5.1,2,504(-6),[東] 藤沢和雄
4,3,6,グレーターロンドン,牡6,56,田辺裕信,1:19.6,1/2,5.5,3,468(-2),[東] 大竹正博
5,2,4,ラインスピリット,牡7,56,森一馬,1:19.7,1/2,170.3,14,446(+2),[西] 松永昌博
6,4,8,リライアブルエース,牡5,56,戸崎圭太,1:19.7,クビ,13.4,6,486(-4),[西] 矢作芳人
7,5,9,ウインガニオン,牡6,56,津村明秀,1:19.8,クビ,21.8,11,492(-6),[西] 西園正都
8,6,11,シュウジ,牡5,56,横山典弘,1:19.8,クビ,18.5,8,502(0),[西] 須貝尚介
9,2,3,アドマイヤゴッド,牡6,56,内田博幸,1:19.9,1/2,286.3,17,492(-2),[西] 須貝尚介
10,6,12,テオドール,牡5,56,石川裕紀,1:19.9,ハナ,40.9,13,542(-4),[東] 国枝栄
11,1,2,トウショウピスト,牡6,56,田中勝春,1:20.0,クビ,172.2,15,474(-4),[西] 角田晃一
12,5,10,セイウンコウセイ,牡5,57,三浦皇成,1:20.0,アタマ,8.4,5,500(+10),[東] 上原博之
13,7,14,ビップライブリー,牡5,56,大野拓弥,1:20.0,クビ,20.9,10,462(+2),[西] 清水久詞
14,4,7,アイライン,牝6,54,北村宏司,1:20.1,クビ,176.0,16,478(+2),[東] 高橋裕
15,7,15,ダンスディレクター,牡8,56,武豊,1:20.2,3/4,4.9,1,440(-2),[西] 笹田和秀
16,8,16,ノボバカラ,牡6,56,武藤雅,1:20.6,2.1/2,327.4,18,510(+2),[東] 天間昭一
17,7,13,ダイメイフジ,牡4,56,松山弘平,1:20.8,3/4,19.0,9,512(+2),[西] 森田直行
18,8,18,フィアーノロマーノ,牡4,55,川田将雅,1:22.3,9,26.2,12,538(+4),[西] 高野友和
