着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,8,エスターテ,牝3,50,松岡正海,1:19.9,,30.4,9,424(+4),[東] 伊藤伸一
2,6,12,キャナルストリート,牝4,53,浜中俊,1:19.9,クビ,20.7,8,460(-2),[東] 大竹正博
3,1,2,モアナ,牝4,55,オドノヒ,1:20.0,クビ,2.1,1,498(+2),[東] 高橋文雅
4,1,1,アイスフィヨルド,牡3,54,戸崎圭太,1:20.0,アタマ,7.4,2,450(+2),[東] 武藤善則
5,7,15,ウィンドライジズ,牡4,56,藤岡康太,1:20.1,1/2,10.4,5,466(0),[東] 牧光二
6,2,4,オルレアンローズ,牝5,53,荻野極,1:20.2,1/2,177.5,16,490(-6),[東] 高木登
7,3,5,ヨシノザクラ,牝5,52,三浦皇成,1:20.2,クビ,15.8,7,464(0),[東] 萩原清
8,4,7,プレトリア,セ3,55,大野拓弥,1:20.4,1.1/4,9.2,4,446(+2),[東] 中川公成
9,6,11,アクセラレート,牡6,55,柴田善臣,1:20.6,1.1/4,32.6,11,462(-6),[西] 佐々木晶
10,8,18,エクラミレネール,牝5,53,北村宏司,1:20.6,クビ,124.5,15,462(0),[東] 高橋裕
11,5,9,ピースユニヴァース,牡3,54,田辺裕信,1:20.6,クビ,15.4,6,476(+4),[東] 尾形和幸
12,7,14,エアシーラン,牡6,51,野中悠太,1:20.7,クビ,270.2,18,486(-2),[西] 小崎憲
13,7,13,デュッセルドルフ,牝3,51,石川裕紀,1:20.7,クビ,106.8,14,460(-8),[東] 木村哲也
14,3,6,ツヅク,牝4,52,嘉藤貴行,1:20.8,1/2,182.7,17,448(-4),[東] 伊藤大士
15,8,17,セイウンリリシイ,牝3,52,武藤雅,1:20.9,1/2,45.6,12,464(+4),[東] 水野貴広
16,8,16,プリュス,牝3,51,武豊,1:21.1,1.1/4,8.8,3,430(+4),[西] 松永幹夫
17,5,10,リスペクトアース,牡5,56,江田照男,1:21.2,1/2,64.4,13,548(-18),[東] 小笠倫弘
18,2,3,アルモニカ,牝3,52,内田博幸,1:21.5,1.3/4,30.4,10,428(+6),[西] 西村真幸
