着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,1,マイネルサーパス,牡2,55,丹内祐次,1:46.2,,8.0,3,476(+2),[東] 高木登
2,3,3,ダノンチェイサー,牡2,55,津村明秀,1:46.2,ハナ,2.2,1,470(+4),[西] 池江泰寿
3,2,2,ダディーズマインド,牡2,55,宮崎北斗,1:46.3,3/4,17.8,7,470(-8),[東] 青木孝文
4,6,7,ディキシーナイト,牡2,55,柴山雄一,1:46.5,1.1/4,4.5,2,526(+12),[東] 国枝栄
5,7,10,ハバナウインド,牡2,55,鮫島克駿,1:46.8,2,20.2,8,462(-6),[西] 浅見秀一
6,7,9,セイウンオフロード,牡2,55,杉原誠人,1:47.1,2,85.9,10,476(+10),[東] 矢野英一
7,8,11,アトミックフォース,牡2,55,勝浦正樹,1:47.1,ハナ,13.6,5,456(+2),[東] 武藤善則
8,8,12,ジャスティン,牡2,55,川又賢治,1:47.3,1,10.0,4,484(-2),[西] 矢作芳人
9,6,8,サルウェーテ,牡2,55,秋山真一,1:47.5,1.1/2,88.6,11,452(-2),[東] 堀井雅広
10,4,4,テイエムバリバリ,牡2,55,丸田恭介,1:47.6,クビ,53.7,9,448(-2),[東] 石栗龍彦
11,5,5,ルタンブル,牝2,54,小崎綾也,1:48.2,3.1/2,13.8,6,442(-4),[西] 寺島良
12,5,6,マリガン,牡2,55,瀧川寿希,1:50.3,大,233.9,12,472(-5),[地] 高橋清顕
