着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,5,ラッキーライラック,牝3,54,石橋脩,1:33.4,,1.8,1,494(+10),[西] 松永幹夫
2,4,4,マウレア,牝3,54,武豊,1:33.7,2,7.7,3,438(-8),[東] 手塚貴久
3,8,9,リリーノーブル,牝3,54,川田将雅,1:33.8,クビ,2.9,2,498(+4),[西] 藤岡健一
4,8,10,サラキア,牝3,54,池添謙一,1:34.1,2,10.9,4,430(-6),[西] 池添学
5,6,6,レッドランディーニ,牝3,54,浜中俊,1:34.1,クビ,97.3,8,436(-6),[西] 石坂正
6,7,8,シグナライズ,牝3,54,ルメール,1:34.3,1,13.5,5,484(-4),[西] 藤原英昭
7,3,3,スカーレットカラー,牝3,54,岩田康誠,1:34.4,1/2,19.4,6,442(+6),[西] 高橋亮
8,2,2,カレンシリエージョ,牝3,54,松山弘平,1:34.4,アタマ,180.0,9,466(+2),[西] 鈴木孝志
9,1,1,ウインラナキラ,牝3,54,荻野極,1:35.2,5,284.9,10,392(-4),[西] 宮徹
10,7,7,サヤカチャン,牝3,54,松田大作,1:35.9,4,76.9,7,462(-4),[西] 田所秀孝
