着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,13,ゴータイミング,牡2,54,武豊,1:50.9,,10.2,5,444(0),[西] 松永幹夫
2,5,7,サトノルークス,牡2,54,ルメール,1:50.9,クビ,2.3,1,460(0),[西] 池江泰寿
3,5,8,マイネルウィルトス,牡2,54,丹内祐次,1:50.9,ハナ,25.3,6,462(0),[西] 宮徹
4,6,9,ブリッツアウェイ,牝2,54,松若風馬,1:51.3,2.1/2,28.2,7,438(0),[西] 音無秀孝
5,2,2,ヴァリアント,牡2,54,幸英明,1:51.4,3/4,7.6,3,474(0),[西] 西浦勝一
6,7,11,アールジオール,牡2,54,松山弘平,1:51.7,2,3.8,2,500(0),[西] 中竹和也
7,7,12,タイガーアチーヴ,牡2,52,森裕太朗,1:51.8,クビ,302.8,14,444(0),[西] 大橋勇樹
8,1,1,バーンスター,牡2,54,藤岡康太,1:51.9,1/2,172.6,13,474(0),[西] 谷潔
9,3,4,ヴァルトブルク,牡2,54,浜中俊,1:52.0,3/4,62.9,9,452(0),[西] 高橋康之
10,3,3,サラミス,牡2,54,川田将雅,1:52.1,クビ,7.7,4,490(0),[西] 池添学
11,4,5,ラッキーバローズ,牡2,54,鮫島克駿,1:52.8,4,92.0,10,442(0),[西] 角田晃一
12,4,6,チャリスオブオナー,牡2,53,荻野極,1:53.6,5,137.7,12,432(0),[西] 高橋義忠
13,6,10,ジェンメオ,牝2,54,藤岡佑介,1:53.7,1/2,49.6,8,448(0),[西] 西村真幸
14,8,14,セイウンスクープ,牡2,54,和田竜二,1:53.8,1/2,103.5,11,516(0),[西] 吉村圭司
