着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,1,パクスアメリカーナ,牡3,55,川田将雅,1:33.3,,3.2,2,468(+4),[西] 中内田充
2,7,9,アサクサゲンキ,牡3,55,松若風馬,1:34.0,4,69.0,10,464(-4),[西] 音無秀孝
3,2,2,キョウヘイ,牡4,56,高倉稜,1:34.0,クビ,38.9,9,446(+2),[西] 宮本博
4,8,10,ソーグリッタリング,牡4,56,モレイラ,1:34.1,アタマ,5.1,3,488(+12),[西] 池江泰寿
5,6,7,トゥラヴェスーラ,牡3,55,藤岡佑介,1:34.2,1/2,24.9,7,478(+12),[西] 高橋康之
6,3,3,ストーミーシー,牡5,56,杉原誠人,1:34.4,1.1/4,25.1,8,530(0),[東] 斎藤誠
7,6,6,グリュイエール,牡6,56,Ｍ．デム,1:34.4,クビ,2.5,1,494(+10),[西] 藤原英昭
8,7,8,ロワアブソリュー,牡5,57,池添謙一,1:34.8,2.1/2,7.3,4,514(+6),[西] 須貝尚介
9,8,11,スマートオーディン,牡5,57,武豊,1:34.9,1/2,20.7,6,514(+22),[西] 池江泰寿
10,5,5,ストーンウェア,牡6,56,浜中俊,1:35.0,1/2,20.2,5,472(+6),[西] 吉田直弘
11,4,4,ラインシュナイダー,牡6,57,太宰啓介,1:36.7,大,182.5,11,472(0),[西] 沖芳夫
