着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,2,マルカソレイユ,牝5,55,和田竜二,1:22.2,,47.8,12,474(-2),[西] 今野貞一
2,1,1,ビックリシタナモー,牡5,57,松若風馬,1:22.5,1.3/4,13.0,8,506(-2),[西] 音無秀孝
3,5,7,メイショウギガース,牡5,57,福永祐一,1:22.6,1/2,7.4,3,486(+6),[西] 岡田稲男
4,3,4,メイショウコゴミ,牝4,55,幸英明,1:22.6,ハナ,12.0,6,454(0),[西] 飯田祐史
5,4,6,マイウェイアムール,牝4,55,藤田菜七,1:22.6,ハナ,8.3,4,496(+10),[東] 林徹
6,6,10,タイセイプレシャス,セ7,57,川須栄彦,1:22.7,1/2,85.3,13,478(+2),[東] 池上昌和
7,7,12,ネオスターダム,牡7,57,松山弘平,1:22.9,1.1/2,16.0,9,492(0),[西] 石坂正
8,7,11,スズカフリオーソ,牡5,57,鮫島克駿,1:23.4,3,12.6,7,482(-6),[西] 藤沢則雄
9,5,8,マイネルラック,牡6,57,国分優作,1:23.8,2.1/2,44.9,11,474(-28),[西] 梅田智之
10,6,9,メイショウラケーテ,牡5,57,鮫島良太,1:23.8,クビ,4.9,2,458(0),[西] 松永昌博
11,8,13,リュウノユキナ,牡4,57,田中勝春,1:23.9,1/2,19.5,10,504(+4),[東] 小野次郎
12,3,3,グローリーグローリ,牡4,57,国分恭介,1:24.4,3,3.5,1,492(-2),[西] 五十嵐忠
13,4,5,テルメディカラカラ,牝7,55,太宰啓介,1:25.0,3.1/2,136.0,14,472(-4),[西] 石橋守
14,8,14,エテルニテ,牝4,55,浜中俊,1:25.6,3.1/2,10.0,5,494(+2),[西] 平田修
