着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,3,ハーキーステップ,牡3,56,スミヨン,1:08.5,,22.7,9,480(-2),[西] 浜田多実
2,5,10,サンキューユウガ,牡3,56,デットー,1:08.5,クビ,3.1,1,518(+14),[西] 西村真幸
3,4,8,スマイルスター,牝3,54,武豊,1:08.6,1/2,4.5,2,510(+10),[東] 大竹正博
4,6,11,ノーブルワークス,牝3,54,幸英明,1:08.8,1.1/4,8.7,4,452(+4),[西] 吉田直弘
5,5,9,スキップ,牡3,56,和田竜二,1:08.9,1/2,17.5,7,470(+6),[西] 加用正
6,3,5,シエルブラン,牝5,55,ムーア,1:08.9,ハナ,16.3,5,468(+6),[西] 千田輝彦
7,8,16,バカラクイーン,牝3,54,藤岡康太,1:09.0,クビ,33.4,10,468(+4),[東] 武井亮
8,3,6,ブラウンローズ,牝5,55,福永祐一,1:09.0,クビ,19.1,8,478(-2),[東] 高橋裕
9,7,13,コハルビヨリ,牝3,54,藤田菜七,1:09.1,クビ,60.3,13,490(-9),[西] 牧浦充徳
10,4,7,ピュアドリーマー,牝3,54,鮫島克駿,1:09.1,ハナ,41.8,12,450(0),[西] 高柳大輔
11,6,12,ナタラディーヴァ,牝3,54,横山典弘,1:09.1,ハナ,35.3,11,444(0),[東] 武藤善則
12,2,4,シトラスノキセキ,牝3,54,西村淳也,1:09.2,3/4,17.2,6,442(+4),[東] 加藤征弘
13,8,17,ブールバール,牝3,54,岩田康誠,1:09.2,ハナ,125.9,16,450(+2),[西] 大久保龍
14,8,18,サウンドオブビット,牡6,57,山田敬士,1:09.2,アタマ,241.8,18,478(+2),[東] 松永康利
15,1,2,アクティーボミノル,牡3,56,太宰啓介,1:09.4,1.1/4,98.9,14,448(+10),[西] 本田優
16,1,1,シゲルジルコン,牝3,54,西田雄一,1:09.7,1.3/4,100.2,15,490(+8),[東] 田中剛
17,7,15,ファルトレク,牝3,54,Ｍ．デム,1:09.9,1.1/4,184.1,17,412(+8),[西] 音無秀孝
18,7,14,エピックガール,牝3,54,マーフィ,1:09.9,クビ,5.2,3,430(+6),[西] 安田隆行
