着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,6,ナランフレグ,牡3,54,丸田恭介,1:08.2,,5.6,3,476(+2),[東] 宗像義忠
2,7,14,プリディカメント,牝4,52,藤岡康太,1:08.6,2.1/2,5.4,2,516(+2),[西] 吉村圭司
3,6,11,タケショウベスト,牝5,52,団野大成,1:08.7,1/2,33.8,12,472(-4),[東] 田中清隆
4,6,12,キアロスクーロ,セ6,56,横山武史,1:08.7,ハナ,14.5,7,508(0),[西] 安達昭夫
5,1,1,ビリーバー,牝4,53,杉原誠人,1:08.8,1/2,21.1,9,464(-2),[東] 石毛善彦
6,5,9,アリンナ,牝5,52,鮫島克駿,1:08.8,アタマ,124.8,16,436(+4),[東] 上原博之
7,2,3,スリーケープマンボ,セ4,55,松田大作,1:08.9,1/2,14.1,6,492(+12),[西] 武英智
8,4,8,エイティーンガール,牝3,54,秋山真一,1:08.9,ハナ,4.3,1,452(+2),[西] 飯田祐史
8,7,13,ニシノキントウン,牡4,53,岡部誠,1:08.9,同着,89.9,15,466(+2),[西] 北出成人
10,8,15,ニシオボヌール,セ7,54,藤井勘一,1:09.0,1/2,24.8,10,500(+6),[西] 高橋亮
11,8,17,ジョーマンデリン,牝3,54,吉田隼人,1:09.0,クビ,9.5,5,488(-2),[西] 清水久詞
12,4,7,イサチルホープ,牡7,55,菱田裕二,1:09.1,クビ,45.7,14,486(+18),[西] 大根田裕
13,2,4,イッツクール,牡3,53,藤田菜七,1:09.2,1/2,29.5,11,478(+2),[西] 武英智
14,1,2,ナンヨーアミーコ,牡6,56,北村友一,1:09.3,1/2,35.4,13,438(-2),[東] 宗像義忠
15,3,5,エンゲージリング,牝4,53,江田照男,1:09.5,1.1/4,15.1,8,486(0),[東] 大江原哲
16,5,10,ブリッツアウェイ,牝3,53,松若風馬,1:09.9,2.1/2,7.9,4,450(+12),[西] 音無秀孝
17,8,16,ラフィングマッチ,牡4,54,太宰啓介,1:10.9,6,157.7,17,488(-6),[西] 北出成人
