着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,4,パリカラノテガミ,牡8,60,五十嵐雄,3:14.2,,6.9,3,462(+2),[東] 清水英克
2,7,11,ヒロシゲセブン,牡4,59,高田潤,3:14.6,2.1/2,3.8,2,514(-4),[西] 北出成人
3,1,1,ナリノレーヴドール,牡4,59,金子光希,3:15.6,6,9.8,4,460(+4),[東] 上原博之
4,8,13,エスケークラウン,牡5,60,西谷誠,3:16.6,6,31.6,7,506(+2),[西] 木原一良
5,4,6,コスモターンブルー,牡4,59,山本康志,3:17.7,7,11.6,5,528(-2),[東] 鈴木伸尋
6,4,5,ファイアプルーフ,牡4,59,大江原圭,3:17.8,1/2,99.1,10,520(+22),[東] 根本康広
7,5,7,グッドトゥヒアー,牝4,57,草野太郎,3:18.2,2.1/2,242.6,12,424(+16),[東] 清水英克
8,6,9,ケイココサージュ,牝4,57,黒岩悠,3:19.8,10,267.4,13,416(-18),[西] 高柳大輔
9,8,14,トッコディルーチェ,セ6,60,北沢伸也,3:22.0,大,25.5,6,498(-6),[西] 中竹和也
10,6,10,ユキノサンブライト,牝8,58,大庭和弥,3:22.8,5,70.4,9,462(-14),[東] 石毛善彦
11,7,12,フジマサクラウン,牡8,60,上野翔,3:28.6,大,45.8,8,528(+22),[東] 松永康利
中,2,2,リルインフィニティ,牝4,57,浜野谷憲,,,276.7,14,516(+8),[東] 古賀史生
中,3,3,シャインブライト,牡6,60,石神深一,,,1.9,1,486(+10),[東] 畠山吉宏
中,5,8,オペラサンデー,牡4,59,高野和馬,,,145.2,11,450(-6),[東] 小桧山悟
