着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,3,マイネルプロンプト,セ7,60,森一馬,3:43.2,,3.1,2,476(-12),[西] 坂口智康
2,6,7,シングンマイケル,セ5,60,金子光希,3:43.6,2.1/2,5.1,3,460(+4),[東] 高市圭二
3,2,2,ディライトフル,セ8,60,白浜雄造,3:43.7,1/2,7.2,4,480(0),[西] 大久保龍
4,7,9,ミヤジタイガ,牡9,60,西谷誠,3:43.7,クビ,2.5,1,502(0),[西] 武幸四郎
5,4,4,ラピッドシップ,牡5,60,北沢伸也,3:43.8,クビ,118.9,9,478(+16),[西] 武英智
6,1,1,シゲルヒノクニ,牡7,60,上野翔,3:44.1,2,176.4,11,498(-24),[東] 粕谷昌央
7,7,8,シゲルボスザル,牡5,60,植野貴也,3:44.4,2,79.3,8,460(-2),[西] 谷潔
8,5,5,シゲルピーマン,セ4,59,石神深一,3:45.2,5,13.1,6,474(0),[東] 粕谷昌央
9,8,10,シゲルスズキ,牡6,60,佐久間寛,3:45.8,3.1/2,147.3,10,496(+4),[西] 藤沢則雄
10,8,11,マックスドリーム,セ12,60,平沢健治,3:45.8,クビ,60.7,7,536(-16),[西] 宮徹
11,6,6,ミュートエアー,牡6,60,五十嵐雄,3:46.1,1.3/4,12.5,5,466(+2),[東] 岩戸孝樹
