着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,14,レピアーウィット,牡4,57,石川裕紀,1:51.5,,29.7,11,540(-4),[東] 堀宣行
2,4,6,ヘヴントゥナイト,牡5,57,大野拓弥,1:53.2,大,6.3,2,480(-4),[西] 杉山晴紀
3,5,8,シベリウス,牡6,57,柴田善臣,1:53.2,ハナ,13.5,7,472(+2),[東] 藤原辰雄
4,7,13,カフェアトラス,牡4,57,田辺裕信,1:53.5,1.1/2,17.2,8,520(-4),[東] 古賀慎明
5,3,5,ミラクルブラッド,牝4,55,石橋脩,1:53.5,クビ,13.2,6,442(+2),[東] 相沢郁
6,1,1,ハシカミ,牡6,57,原田和真,1:53.6,クビ,62.9,14,486(+4),[東] 小桧山悟
7,2,3,グラスブルース,牡5,57,江田照男,1:53.6,ハナ,54.8,13,512(-12),[東] 牧光二
8,5,9,スパイスマジック,牡4,57,松岡正海,1:53.6,クビ,18.4,9,490(+2),[東] 杉浦宏昭
9,4,7,トーホウリーガル,牡6,57,吉田豊,1:53.8,1,110.5,15,532(+2),[東] 古賀史生
10,6,11,ダイワドノヴァン,牡5,57,柴田大知,1:53.8,クビ,12.1,4,520(+4),[東] 池上昌和
11,3,4,キャベンディッシュ,牡4,57,野中悠太,1:54.0,1,36.6,12,500(0),[東] 小桧山悟
12,8,15,ペイシャボム,牡5,57,武士沢友,1:54.0,ハナ,22.6,10,484(+2),[東] 本間忍
13,7,12,プレシャスリーフ,牡4,57,戸崎圭太,1:55.2,7,2.7,1,462(+4),[東] 高柳瑞樹
14,6,10,サトノディード,牡4,57,内田博幸,1:56.2,6,6.3,3,510(+2),[東] 国枝栄
15,2,2,ホウオウパフューム,牝5,55,横山典弘,1:56.2,クビ,12.3,5,484(-2),[東] 奥村武
