着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,2,ヴァルディゼール,牡3,56,北村友一,1:35.7,,6.8,4,444(0),[西] 渡辺薫彦
2,1,1,マイネルフラップ,牡3,56,吉田隼人,1:35.7,クビ,32.7,10,470(+8),[西] 梅田智之
3,7,10,ミッキーブリランテ,牡3,56,坂井瑠星,1:35.9,1.1/2,5.4,2,460(+2),[西] 矢作芳人
4,7,9,パッシングスルー,牝3,54,池添謙一,1:36.1,1.1/4,7.6,5,464(+4),[東] 黒岩陽一
5,3,3,ハッピーアワー,牡3,56,秋山真一,1:36.1,アタマ,6.2,3,448(+8),[西] 武幸四郎
6,6,8,ミヤケ,牡3,56,松山弘平,1:36.3,1.1/4,215.2,11,472(+8),[西] 村山明
7,4,4,ゴータイミング,牡3,56,武豊,1:36.3,クビ,17.3,7,452(+8),[西] 松永幹夫
8,5,5,アントリューズ,牡3,56,川田将雅,1:36.5,3/4,2.8,1,496(+6),[東] 栗田徹
9,5,6,ドナウデルタ,牝3,54,福永祐一,1:36.7,1.1/2,9.4,6,438(+6),[西] 石坂正
10,8,12,コパノマーティン,牡3,56,藤岡康太,1:36.7,ハナ,280.9,12,484(+10),[西] 村山明
11,8,11,シャドウエンペラー,牡3,56,和田竜二,1:37.3,3.1/2,30.7,9,480(+2),[西] 岡田稲男
12,6,7,ニホンピロヘンソン,牡3,56,浜中俊,1:37.5,1.1/2,23.0,8,474(+2),[西] 安達昭夫
